Statistics_Analysis_Results, , , , , , 
Timestamp,Time [s],Mean Value[Intensity],Variance[-],Standard Deviation[Intensity],Weighted Average[nm (vac)],Max Value[Intensity]
2017-06-27T10:48:37.7200000-03:00,0.000000000E+000,4.130956991E-002,1.126092262E-003,3.355729819E-002,3.909044545E+002,1.093181148E-001
2017-06-27T10:48:38.7200000-03:00,1.000000000E+000,4.198875695E-002,1.126768966E-003,3.356737949E-002,3.908961209E+002,1.067505106E-001
2017-06-27T10:48:39.7300000-03:00,2.010000000E+000,4.092815847E-002,1.138031885E-003,3.373472817E-002,3.909089760E+002,1.052720323E-001
2017-06-27T10:48:40.7300000-03:00,3.010000000E+000,4.120779792E-002,1.113898015E-003,3.337511072E-002,3.908908001E+002,1.112133116E-001
2017-06-27T10:48:41.7300000-03:00,4.010000000E+000,4.168946116E-002,1.158421664E-003,3.403559408E-002,3.909011775E+002,1.105688512E-001
2017-06-27T10:48:42.7300000-03:00,5.010000000E+000,4.158208355E-002,1.142865655E-003,3.380629609E-002,3.908993982E+002,1.078578383E-001
2017-06-27T10:48:43.7300000-03:00,6.010000000E+000,4.218885392E-002,1.122182446E-003,3.349899171E-002,3.908910882E+002,1.075036451E-001
2017-06-27T10:48:44.7300000-03:00,7.010000000E+000,4.151007225E-002,1.134093713E-003,3.367630789E-002,3.908853942E+002,1.083101407E-001
2017-06-27T10:48:45.7300000-03:00,8.010000000E+000,4.150098685E-002,1.126060524E-003,3.355682530E-002,3.908963012E+002,1.069225445E-001
2017-06-27T10:48:46.7300000-03:00,9.010000000E+000,4.145237173E-002,1.163781261E-003,3.411423839E-002,3.908959172E+002,1.086909920E-001
2017-06-27T10:48:47.7300000-03:00,1.001000000E+001,4.137013626E-002,1.142120794E-003,3.379527769E-002,3.909011335E+002,1.076131687E-001
2017-06-27T10:48:48.7300000-03:00,1.101000000E+001,4.177900580E-002,1.197177913E-003,3.460025886E-002,3.909057183E+002,1.108302101E-001
2017-06-27T10:48:49.7300000-03:00,1.201000000E+001,4.112441208E-002,1.127830725E-003,3.358319111E-002,3.908900624E+002,1.074098051E-001
2017-06-27T10:48:50.7300000-03:00,1.301000000E+001,4.079946450E-002,1.147448820E-003,3.387401393E-002,3.909052526E+002,1.051801369E-001
2017-06-27T10:48:51.7300000-03:00,1.401000000E+001,4.043892204E-002,1.115773120E-003,3.340319027E-002,3.908986887E+002,1.081867218E-001
2017-06-27T10:48:52.7300000-03:00,1.501000000E+001,4.097549246E-002,1.113136702E-003,3.336370336E-002,3.908972987E+002,1.071893275E-001
2017-06-27T10:48:53.7300000-03:00,1.601000000E+001,4.059329571E-002,1.155272807E-003,3.398930430E-002,3.909110930E+002,1.106083244E-001
2017-06-27T10:48:54.7300000-03:00,1.701000000E+001,4.134341131E-002,1.147860526E-003,3.388009041E-002,3.909058580E+002,1.078962907E-001
2017-06-27T10:48:55.7300000-03:00,1.801000000E+001,4.103286034E-002,1.117740794E-003,3.343263067E-002,3.909089015E+002,1.061252430E-001
2017-06-27T10:48:56.7300000-03:00,1.901000000E+001,4.112206368E-002,1.156386338E-003,3.400568097E-002,3.909084349E+002,1.070399508E-001
2017-06-27T10:48:57.7300000-03:00,2.001000000E+001,4.133365845E-002,1.136601984E-003,3.371352820E-002,3.908892054E+002,1.080864742E-001
2017-06-27T10:48:58.7300000-03:00,2.101000000E+001,4.133479653E-002,1.164129255E-003,3.411933843E-002,3.908994999E+002,1.094196215E-001
2017-06-27T10:48:59.7300000-03:00,2.201000000E+001,4.132292366E-002,1.140774213E-003,3.377534919E-002,3.908952097E+002,1.065127105E-001
2017-06-27T10:49:00.7300000-03:00,2.301000000E+001,4.111902471E-002,1.107928973E-003,3.328556704E-002,3.908890453E+002,1.086354703E-001
2017-06-27T10:49:01.7300000-03:00,2.401000000E+001,4.157700701E-002,1.150710487E-003,3.392212386E-002,3.908933737E+002,1.087107286E-001
2017-06-27T10:49:02.7300000-03:00,2.501000000E+001,4.103220204E-002,1.161407533E-003,3.407942976E-002,3.909076773E+002,1.082855314E-001
2017-06-27T10:49:03.7300000-03:00,2.601000000E+001,4.131613031E-002,1.120562893E-003,3.347480983E-002,3.908888384E+002,1.074646711E-001
