Statistics_Analysis_Results, , , , , , 
Timestamp,Time [s],Mean Value[Intensity],Variance[-],Standard Deviation[Intensity],Weighted Average[nm (vac)],Max Value[Intensity]
2017-06-27T11:37:59.8500000-03:00,0.000000000E+000,2.056100104E-002,2.208636316E-004,1.486148148E-002,4.272233249E+002,4.389030486E-002
2017-06-27T11:38:00.8700000-03:00,1.020000000E+000,2.083766775E-002,2.205481979E-004,1.485086522E-002,4.271898349E+002,4.429332912E-002
2017-06-27T11:38:01.8700000-03:00,2.020000000E+000,2.080646590E-002,2.113533138E-004,1.453799552E-002,4.271960340E+002,4.344572127E-002
2017-06-27T11:38:02.8700000-03:00,3.020000000E+000,2.090337839E-002,2.255562588E-004,1.501853052E-002,4.272268245E+002,4.438548535E-002
2017-06-27T11:38:03.8700000-03:00,4.020000000E+000,2.015870347E-002,2.085724494E-004,1.444203758E-002,4.272085278E+002,4.250024632E-002
2017-06-27T11:38:04.8700000-03:00,5.020000000E+000,2.108359217E-002,2.137949259E-004,1.462172787E-002,4.272170375E+002,4.643161967E-002
2017-06-27T11:38:05.8700000-03:00,6.020000000E+000,2.051142285E-002,2.205352393E-004,1.485042892E-002,4.272192584E+002,4.643484205E-002
2017-06-27T11:38:06.8700000-03:00,7.020000000E+000,1.998249756E-002,2.072637234E-004,1.439665667E-002,4.272017978E+002,4.276725277E-002
2017-06-27T11:38:07.8700000-03:00,8.020000000E+000,2.062725803E-002,2.301644949E-004,1.517117316E-002,4.272211030E+002,4.584214464E-002
2017-06-27T11:38:08.8700000-03:00,9.020000000E+000,2.065964161E-002,2.011618378E-004,1.418315331E-002,4.272157011E+002,4.224025458E-002
2017-06-27T11:38:09.8700000-03:00,1.002000000E+001,2.052285100E-002,2.175306099E-004,1.474891894E-002,4.272025789E+002,4.459995776E-002
2017-06-27T11:38:10.8700000-03:00,1.102000000E+001,2.079389116E-002,2.109537199E-004,1.452424593E-002,4.272180082E+002,4.484607279E-002
2017-06-27T11:38:11.8800000-03:00,1.203000000E+001,2.089042680E-002,2.193106167E-004,1.480913963E-002,4.272431656E+002,4.452024028E-002
2017-06-27T11:38:12.8800000-03:00,1.303000000E+001,2.103565647E-002,2.227284873E-004,1.492409084E-002,4.272184792E+002,4.525572062E-002
2017-06-27T11:38:13.8800000-03:00,1.403000000E+001,2.075568863E-002,2.230706647E-004,1.493555036E-002,4.271944780E+002,4.443679377E-002
2017-06-27T11:38:14.8800000-03:00,1.503000000E+001,2.083977635E-002,2.174397769E-004,1.474583931E-002,4.272197745E+002,4.458235949E-002
2017-06-27T11:38:15.8800000-03:00,1.603000000E+001,2.069476939E-002,2.077482686E-004,1.441347524E-002,4.272063013E+002,4.420636222E-002
2017-06-27T11:38:16.8800000-03:00,1.703000000E+001,2.069430740E-002,2.144747788E-004,1.464495745E-002,4.271862123E+002,4.388326779E-002
2017-06-27T11:38:17.8700000-03:00,1.802000000E+001,2.046523643E-002,2.134515397E-004,1.460998082E-002,4.272101635E+002,4.476783052E-002
2017-06-27T11:38:18.8700000-03:00,1.902000000E+001,2.101435968E-002,2.181070480E-004,1.476844772E-002,4.272175147E+002,4.601549357E-002
2017-06-27T11:38:19.8700000-03:00,2.002000000E+001,2.036850580E-002,2.212974386E-004,1.487606933E-002,4.272376385E+002,4.312754795E-002
2017-06-27T11:38:20.8800000-03:00,2.103000000E+001,2.075503716E-002,2.090170520E-004,1.445742204E-002,4.272109385E+002,4.345076159E-002
2017-06-27T11:38:21.8800000-03:00,2.203000000E+001,2.064773409E-002,2.325461859E-004,1.524946510E-002,4.272096292E+002,4.625146091E-002
2017-06-27T11:38:22.8800000-03:00,2.303000000E+001,2.122210798E-002,2.237294662E-004,1.495758892E-002,4.272095684E+002,4.606276751E-002
2017-06-27T11:38:23.8800000-03:00,2.403000000E+001,2.058938573E-002,2.138353163E-004,1.462310898E-002,4.272125802E+002,4.564572126E-002
2017-06-27T11:38:24.8800000-03:00,2.503000000E+001,2.044805963E-002,2.201320497E-004,1.483684770E-002,4.272361675E+002,4.527813569E-002
2017-06-27T11:38:25.8800000-03:00,2.603000000E+001,2.119149833E-002,2.071988376E-004,1.439440299E-002,4.271814516E+002,4.367762804E-002
2017-06-27T11:38:26.8800000-03:00,2.703000000E+001,2.030648872E-002,2.153589910E-004,1.467511468E-002,4.272201014E+002,4.421569034E-002
2017-06-27T11:38:27.8800000-03:00,2.803000000E+001,2.062274324E-002,2.116297321E-004,1.454749917E-002,4.271947161E+002,4.412537441E-002
2017-06-27T11:38:28.8800000-03:00,2.903000000E+001,2.022554211E-002,2.036485468E-004,1.427054823E-002,4.271860571E+002,4.349613935E-002
2017-06-27T11:38:29.8800000-03:00,3.003000000E+001,2.055174301E-002,2.228204631E-004,1.492717197E-002,4.272279485E+002,4.533931985E-002
2017-06-27T11:38:30.8800000-03:00,3.103000000E+001,2.154819756E-002,2.083981840E-004,1.443600305E-002,4.272014040E+002,4.516786337E-002
2017-06-27T11:38:31.8900000-03:00,3.204000000E+001,2.086901751E-002,1.985819147E-004,1.409190955E-002,4.272108456E+002,4.284828156E-002
2017-06-27T11:38:32.8900000-03:00,3.304000000E+001,2.037748380E-002,2.048468568E-004,1.431247207E-002,4.272183640E+002,4.446452484E-002
2017-06-27T11:38:33.8900000-03:00,3.404000000E+001,2.150981365E-002,2.221947178E-004,1.490619729E-002,4.272153870E+002,4.719876498E-002
2017-06-27T11:38:34.8900000-03:00,3.504000000E+001,2.122598845E-002,2.305722672E-004,1.518460626E-002,4.272094314E+002,4.603736475E-002
2017-06-27T11:38:35.8900000-03:00,3.604000000E+001,2.071038289E-002,2.162713171E-004,1.470616595E-002,4.272088106E+002,4.398240522E-002
2017-06-27T11:38:36.8900000-03:00,3.704000000E+001,2.146440742E-002,2.234802076E-004,1.494925442E-002,4.272030488E+002,4.854710028E-002
2017-06-27T11:38:37.8900000-03:00,3.804000000E+001,2.079776591E-002,2.136939966E-004,1.461827612E-002,4.271731098E+002,4.435398802E-002
2017-06-27T11:38:38.8900000-03:00,3.904000000E+001,2.080574290E-002,2.211611782E-004,1.487148877E-002,4.272237732E+002,4.493191466E-002
2017-06-27T11:38:39.8900000-03:00,4.004000000E+001,1.996462138E-002,2.104514230E-004,1.450694396E-002,4.272204715E+002,4.358925670E-002
2017-06-27T11:38:40.8900000-03:00,4.104000000E+001,2.060594952E-002,2.108336905E-004,1.452011331E-002,4.272072345E+002,4.477150366E-002
2017-06-27T11:38:41.9000000-03:00,4.205000000E+001,2.103083026E-002,2.137657305E-004,1.462072948E-002,4.271961722E+002,4.334246367E-002
2017-06-27T11:38:42.9000000-03:00,4.305000000E+001,2.063428589E-002,2.201542212E-004,1.483759486E-002,4.272022364E+002,4.387335479E-002
2017-06-27T11:38:43.9000000-03:00,4.405000000E+001,2.059578617E-002,2.190969298E-004,1.480192318E-002,4.272280438E+002,4.546700791E-002
2017-06-27T11:38:44.9000000-03:00,4.505000000E+001,2.067696920E-002,2.226138758E-004,1.492025053E-002,4.272383838E+002,4.328109697E-002
2017-06-27T11:38:45.9000000-03:00,4.605000000E+001,2.016193946E-002,2.221322811E-004,1.490410283E-002,4.272113782E+002,4.315853864E-002
2017-06-27T11:38:46.9000000-03:00,4.705000000E+001,2.011798598E-002,2.157645982E-004,1.468892774E-002,4.272194802E+002,4.398345575E-002
