Statistics_Analysis_Results, , , , , , 
Timestamp,Time [s],Mean Value[Intensity],Variance[-],Standard Deviation[Intensity],Weighted Average[nm (vac)],Max Value[Intensity]
2017-06-27T12:47:57.9800000-03:00,0.000000000E+000,2.238283054E-002,4.055537694E-004,2.013836561E-002,4.272783147E+002,5.729536712E-002
2017-06-27T12:47:59.0000000-03:00,1.020000000E+000,2.270589445E-002,4.102456946E-004,2.025452282E-002,4.272853379E+002,5.905271694E-002
2017-06-27T12:48:00.0000000-03:00,2.020000000E+000,2.327759294E-002,4.010686438E-004,2.002669827E-002,4.272588528E+002,5.638354644E-002
2017-06-27T12:48:00.9900000-03:00,3.010000000E+000,2.224083193E-002,4.095298939E-004,2.023684496E-002,4.272755933E+002,5.915072188E-002
2017-06-27T12:48:01.9900000-03:00,4.010000000E+000,2.264394679E-002,4.040616620E-004,2.010128508E-002,4.272853822E+002,5.994467065E-002
2017-06-27T12:48:02.9900000-03:00,5.010000000E+000,2.266441002E-002,3.983661005E-004,1.995911071E-002,4.272630384E+002,5.760708079E-002
2017-06-27T12:48:03.9900000-03:00,6.010000000E+000,2.320064489E-002,4.143595861E-004,2.035582438E-002,4.272541809E+002,5.740327761E-002
2017-06-27T12:48:04.9900000-03:00,7.010000000E+000,2.269367792E-002,4.082704403E-004,2.020570316E-002,4.272734142E+002,5.940251052E-002
2017-06-27T12:48:05.9900000-03:00,8.010000000E+000,2.258244398E-002,3.906431832E-004,1.976469537E-002,4.272457477E+002,5.738740787E-002
2017-06-27T12:48:06.9900000-03:00,9.010000000E+000,2.252582839E-002,3.942861654E-004,1.985664034E-002,4.272543019E+002,5.676653236E-002
2017-06-27T12:48:07.9900000-03:00,1.001000000E+001,2.250635245E-002,3.971564498E-004,1.992878445E-002,4.272767093E+002,5.668406188E-002
2017-06-27T12:48:08.9900000-03:00,1.101000000E+001,2.266526107E-002,4.155046830E-004,2.038393198E-002,4.272626518E+002,5.644787103E-002
2017-06-27T12:48:09.9900000-03:00,1.201000000E+001,2.246682408E-002,4.007684593E-004,2.001920226E-002,4.272554269E+002,5.529436842E-002
2017-06-27T12:48:10.9900000-03:00,1.301000000E+001,2.268373339E-002,3.985485794E-004,1.996368151E-002,4.272623556E+002,5.502926186E-002
2017-06-27T12:48:11.9900000-03:00,1.401000000E+001,2.235418108E-002,3.779335503E-004,1.944051312E-002,4.272716152E+002,5.386608094E-002
