Statistics_Analysis_Results, , , , , , , , 
Timestamp,Time [s],Mean Value[Intensity],Variance[-],Standard Deviation[Intensity],Weighted Average[nm (vac)],Min Value[Intensity],Max Value[Intensity],Root Mean Square[Intensity]
2017-06-13T13:22:31.0400000-03:00,0.000000000E+000,6.133585897E-004,1.027351368E-005,3.205232236E-003,8.672651626E+002,-2.056555357E-003,8.388580754E-003,3.083540323E-003
2017-06-13T13:22:31.1400000-03:00,1.000000000E-001,1.291587525E-003,1.103229266E-005,3.321489524E-003,8.672316151E+002,-2.368160989E-003,9.513241239E-003,3.387429807E-003
2017-06-13T13:22:31.2400000-03:00,2.000000000E-001,1.089007817E-003,8.849355207E-006,2.974786582E-003,8.671238670E+002,-1.156648039E-003,8.421209641E-003,3.008659426E-003
2017-06-13T13:22:31.3400000-03:00,3.000000000E-001,8.356177455E-004,9.234811286E-006,3.038883230E-003,8.673191415E+002,-1.668229699E-003,8.259991184E-003,2.984456091E-003
2017-06-13T13:22:31.4400000-03:00,4.000000000E-001,9.395345361E-004,1.049954719E-005,3.240300479E-003,8.671577811E+002,-2.196256071E-003,9.168353863E-003,3.196193984E-003
2017-06-13T13:22:31.5400000-03:00,5.000000000E-001,1.159471264E-003,8.394268257E-006,2.897286361E-003,8.672762289E+002,-1.566751511E-003,8.226009086E-003,2.967481322E-003
2017-06-13T13:22:31.6400000-03:00,6.000000000E-001,1.947068570E-003,5.247649200E-006,2.290774803E-003,8.673266899E+002,-6.039518048E-004,7.049109321E-003,2.907860568E-003
2017-06-13T13:22:31.7400000-03:00,7.000000000E-001,1.668518533E-003,1.029708602E-005,3.208907293E-003,8.671922073E+002,-1.363512361E-003,9.454437532E-003,3.454984724E-003
2017-06-13T13:22:31.8400000-03:00,8.000000000E-001,2.041707312E-003,1.036510953E-005,3.219489018E-003,8.671942871E+002,-2.096563694E-004,1.012437325E-002,3.658141529E-003
2017-06-13T13:22:31.9400000-03:00,9.000000000E-001,1.517211249E-003,1.038134979E-005,3.222010209E-003,8.672963272E+002,-1.224139240E-003,9.515822865E-003,3.395555396E-003
2017-06-13T13:22:32.0400000-03:00,1.000000000E+000,1.580334171E-003,5.607699705E-006,2.368058214E-003,8.672890657E+002,-3.695458290E-004,7.472036406E-003,2.735338746E-003
2017-06-13T13:22:32.1400000-03:00,1.100000000E+000,1.896794777E-003,5.663929708E-006,2.379901197E-003,8.672538329E+002,9.690555453E-005,7.966537960E-003,2.938100511E-003
2017-06-13T13:22:32.2400000-03:00,1.200000000E+000,1.339509212E-003,7.529552522E-006,2.744003011E-003,8.672823584E+002,-6.539691240E-004,8.330213837E-003,2.913283457E-003
2017-06-13T13:22:32.3400000-03:00,1.300000000E+000,1.447713221E-003,7.725570720E-006,2.779491090E-003,8.672533819E+002,-1.357513014E-003,7.951147854E-003,2.993834923E-003
2017-06-13T13:22:32.4400000-03:00,1.400000000E+000,1.260108637E-003,7.689008298E-006,2.772906111E-003,8.672417572E+002,-9.292925824E-004,7.921542041E-003,2.902162611E-003
2017-06-13T13:22:32.5400000-03:00,1.500000000E+000,6.489019622E-004,1.114508739E-005,3.338425885E-003,8.671682818E+002,-3.119691974E-003,8.844766766E-003,3.213692285E-003
2017-06-13T13:22:32.6400000-03:00,1.600000000E+000,1.682940139E-003,7.374693194E-006,2.715638635E-003,8.672968985E+002,-9.105908102E-004,8.312522434E-003,3.063914220E-003
2017-06-13T13:22:32.7400000-03:00,1.700000000E+000,5.673828887E-004,1.050642639E-005,3.241361811E-003,8.671960556E+002,-1.945634955E-003,8.713648655E-003,3.108209938E-003
2017-06-13T13:22:32.8400000-03:00,1.800000000E+000,1.491641178E-003,7.962986228E-006,2.821876366E-003,8.673263987E+002,-2.292693825E-003,7.770811673E-003,3.050115307E-003
2017-06-13T13:22:32.9400000-03:00,1.900000000E+000,1.498017522E-003,9.564138668E-006,3.092594165E-003,8.674483514E+002,-1.129714190E-003,8.963300847E-003,3.278034943E-003
2017-06-13T13:22:33.0400000-03:00,2.000000000E+000,1.111248897E-003,8.055975069E-006,2.838304964E-003,8.673327373E+002,-1.611648942E-003,8.017672226E-003,2.897540481E-003
2017-06-13T13:22:33.1400000-03:00,2.100000000E+000,9.131390155E-004,8.522607822E-006,2.919350582E-003,8.671932430E+002,-1.557973097E-003,8.344512433E-003,2.899909354E-003
2017-06-13T13:22:33.2400000-03:00,2.200000000E+000,1.435971483E-003,1.335930769E-005,3.655038671E-003,8.673246374E+002,-1.826916588E-003,1.029839646E-002,3.733223040E-003
2017-06-13T13:22:33.3400000-03:00,2.300000000E+000,1.939159540E-003,5.599398720E-006,2.366304866E-003,8.672274532E+002,-4.079673090E-004,7.895632647E-003,2.955940295E-003
2017-06-13T13:22:33.4400000-03:00,2.400000000E+000,1.027712173E-003,6.383417404E-006,2.526542579E-003,8.673340333E+002,-1.099832356E-003,7.284135558E-003,2.594290098E-003
2017-06-13T13:22:33.5400000-03:00,2.500000000E+000,4.141813859E-004,6.575249994E-006,2.564225028E-003,8.671891009E+002,-3.118763212E-003,6.298413500E-003,2.452796951E-003
2017-06-13T13:22:33.6500000-03:00,2.610000000E+000,2.510422555E-003,1.265687121E-005,3.557649675E-003,8.672157880E+002,-6.445070612E-004,1.098366175E-002,4.189603035E-003
2017-06-13T13:22:33.7400000-03:00,2.700000000E+000,1.237821882E-003,1.017186238E-005,3.189335727E-003,8.673477631E+002,-1.431724755E-003,9.011974558E-003,3.251746986E-003
2017-06-13T13:22:33.8400000-03:00,2.800000000E+000,3.376079694E-004,7.522483303E-006,2.742714586E-003,8.672110687E+002,-2.844478469E-003,6.683735177E-003,2.607801941E-003
2017-06-13T13:22:33.9400000-03:00,2.900000000E+000,1.471235780E-003,1.088702001E-005,3.299548456E-003,8.670160304E+002,-1.537358738E-003,9.012258612E-003,3.441204127E-003
2017-06-13T13:22:34.0400000-03:00,3.000000000E+000,1.249002378E-003,8.838419610E-006,2.972947966E-003,8.673597817E+002,-2.168845385E-003,8.084697649E-003,3.068612052E-003
2017-06-13T13:22:34.1400000-03:00,3.100000000E+000,6.780782181E-004,1.055373757E-005,3.248651655E-003,8.673181190E+002,-1.438848907E-003,9.142779745E-003,3.137019308E-003
