X, Y
0, 158.667
1, 89.000
2, 2.667
3, 1.333
4, 5.667
5, 1.000
6, 0.667
7, 1.000
8, 1.000
9, 0.667
10, 0.667
11, 1.667
12, 1.333
13, 3.000
14, 7.000
15, 28.333
16, 80.333
17, 118.667
18, 113.333
19, 33.000
20, 5.667
21, 1.000
22, 6.333
23, 2.333
24, 7.000
25, 3.000
26, 17.667
27, 68.667
28, 94.667
29, 71.333
30, 25.667
31, 10.000
32, 4.000
33, 1.000
34, 3.667
35, 1.000
36, 4.333
37, 0.000
38, 5.000
39, 2.333
40, 13.667
41, 55.333
42, 88.000
43, 66.333
44, 23.333
45, 7.000
46, 1.000
47, 1.000
48, 1.000
49, 1.000
50, 1.000
51, 1.000
52, 1.000
53, 1.000
54, 1.000
55, 1.000
56, 1.000
57, 1.000
58, 1.000
59, 1.000
60, 1.000
61, 1.000
62, 1.000
63, 1.000
64, 1.000
65, 1.000
66, 1.000
67, 1.000
68, 1.000
69, 1.000
70, 1.000
71, 1.000
72, 1.000
73, 1.000
74, 1.000
75, 1.000
76, 1.000
77, 1.333
78, 2.000
79, 3.333
80, 3.333
81, 3.000
82, 2.333
83, 3.000
84, 3.000
85, 5.667
86, 16.667
87, 93.333
88, 89.667
89, 23.667
90, 7.333
91, 6.333
92, 15.333
93, 68.000
94, 95.000
95, 63.667
96, 81.667
97, 96.667
98, 54.000
99, 12.000
100, 3.333
101, 3.000
102, 2.333
103, 3.667
104, 4.000
105, 9.333
106, 29.667
107, 108.000
108, 103.333
109, 15.333
110, 2.000
111, 4.667
112, 3.667
113, 3.667
114, 3.000
115, 1.667
116, 1.667
117, 6.667
118, 4.667
119, 5.000
120, 17.333
121, 131.000
122, 126.333
123, 20.000
124, 3.667
125, 5.333
126, 8.333
127, 23.333
128, 127.667
129, 59.333
130, 15.000
131, 5.333
132, 1.000
133, 2.000
134, 2.000
135, 2.000
136, 2.667
137, 2.667
138, 2.667
139, 3.333
140, 3.000
141, 1.667
142, 1.000
143, 1.000
144, 1.000
145, 1.000
146, 1.000
147, 1.000
148, 1.000
149, 1.000
150, 1.000
151, 1.000
152, 1.000
153, 1.000
154, 1.000
155, 1.000
156, 1.000
157, 2.000
158, 0.667
159, 3.000
160, 5.333
161, 4.000
162, 12.000
163, 109.000
164, 174.000
165, 90.333
166, 14.000
167, 3.667
168, 1.667
169, 4.333
170, 7.000
171, 1.000
172, 3.000
173, 4.000
174, 4.667
175, 3.667
176, 2.333
177, 1.000
178, 0.667
179, 1.000
180, 0.667
181, 1.000
182, 1.667
183, 2.000
184, 2.000
185, 1.667
186, 1.000
187, 1.000
188, 0.667
189, 1.333
190, 2.000
191, 3.333
192, 4.333
193, 9.000
194, 8.333
195, 4.667
196, 1.667
197, 4.000
198, 8.333
199, 1.667
200, 10.000
201, 82.667
202, 11.000
203, 2.333
204, 5.667
205, 2.667
206, 2.000
207, 2.000
208, 2.000
209, 2.000
210, 2.000
211, 2.000
212, 2.000
213, 1.000
214, 1.000
215, 1.000
216, 1.000
217, 1.000
218, 1.000
219, 1.000
220, 1.000
221, 1.000
222, 1.000
223, 2.333
224, 3.000
225, 2.000
226, 2.667
227, 3.333
228, 3.000
229, 1.667
230, 7.000
231, 14.667
232, 128.667
233, 125.333
234, 102.000
235, 6.667
236, 3.333
237, 9.000
238, 77.000
239, 136.667
240, 66.333
241, 8.000
242, 2.333
243, 1.667
244, 4.667
245, 0.000
246, 3.000
247, 1.000
248, 4.667
249, 150.667
250, 53.667
251, 5.667
252, 0.333
253, 1.667
254, 2.000
255, 2.000
256, 2.000
257, 1.667
258, 1.667
259, 1.000
260, 1.000
261, 1.000
262, 1.000
263, 0.667
264, 0.667
265, 1.000
266, 1.000
267, 1.000
268, 0.667
269, 2.000
270, 1.333
271, 1.333
272, 2.000
273, 5.333
274, 5.333
275, 2.667
276, 1.667
277, 1.667
278, 0.333
279, 5.333
280, 3.333
281, 67.667
282, 173.000
283, 114.000
284, 8.333
285, 2.000
286, 3.000
287, 15.667
288, 180.667
289, 179.667
290, 16.333
291, 2.667
292, 5.000
293, 2.333
294, 2.000
295, 2.333
296, 1.000
297, 1.000
298, 1.000
299, 3.000
300, 2.667
301, 1.667
302, 2.333
303, 1.333
304, 4.000
305, 2.333
306, 4.333
307, 172.000
308, 171.000
309, 28.333
310, 4.333
311, 125.667
312, 185.000
313, 67.000
314, 7.333
315, 2.000
316, 1.667
317, 2.333
318, 2.333
319, 2.333
320, 1.667
321, 1.667
322, 0.667
323, 0.667
324, 1.000
325, 1.000
326, 1.000
327, 1.000
328, 1.000
329, 0.667
330, 0.667
331, 1.000
332, 1.000
333, 1.000
334, 1.333
335, 13.000
336, 196.667
337, 84.333
338, 3.667
339, 4.667
340, 5.000
341, 3.333
342, 2.333
343, 1.333
344, 1.667
345, 3.333
346, 4.333
347, 4.667
348, 3.333
349, 1.333
350, 0.333
351, 3.333
352, 2.667
353, 3.333
354, 2.333
355, 5.667
356, 72.667
357, 161.333
358, 109.333
359, 4.000
360, 5.000
361, 73.000
362, 153.333
363, 147.667
364, 154.667
365, 10.333
366, 4.667
367, 4.000
368, 2.333
369, 3.333
370, 5.667
371, 10.667
372, 131.000
373, 142.333
374, 133.667
375, 132.667
376, 139.000
377, 14.333
378, 2.333
