X, Y
0, 163.833
1, 89.738
2, 10.905
3, 32.429
4, 69.143
5, 21.905
6, 21.810
7, 43.333
8, 69.333
9, 111.000
10, 117.333
11, 110.333
12, 60.333
13, 86.667
14, 118.667
15, 128.333
16, 111.000
17, 26.000
18, 17.667
19, 56.000
20, 86.667
21, 27.667
22, 9.333
23, 11.333
24, 35.667
25, 112.667
26, 100.333
27, 36.000
28, 32.000
29, 104.000
30, 107.667
31, 78.667
32, 36.667
33, 30.000
34, 54.667
35, 39.667
36, 87.333
37, 102.000
38, 94.333
39, 22.667
40, 20.333
41, 92.333
42, 110.000
43, 111.000
44, 99.333
45, 42.333
46, 47.000
47, 95.667
48, 106.333
49, 100.333
50, 105.000
51, 99.667
52, 86.333
53, 19.667
54, 10.333
55, 35.667
56, 74.000
57, 70.000
58, 38.000
59, 33.000
60, 60.000
61, 88.333
62, 90.333
63, 65.000
64, 68.333
65, 59.667
66, 55.667
67, 54.000
68, 76.000
69, 86.333
70, 78.333
71, 40.667
72, 36.667
73, 76.000
74, 69.333
75, 19.667
76, 11.333
77, 38.333
78, 76.000
79, 85.000
80, 80.333
81, 54.000
82, 52.333
83, 12.333
84, 1.667
85, 3.333
86, 17.333
87, 85.667
88, 91.667
89, 73.333
90, 25.000
91, 11.667
92, 16.333
93, 60.000
94, 75.000
95, 54.333
96, 32.333
97, 57.333
98, 28.333
99, 102.000
100, 101.667
101, 26.333
102, 6.667
103, 64.333
104, 27.000
105, 78.333
106, 116.000
107, 115.000
108, 114.000
109, 81.333
110, 81.667
111, 115.667
112, 71.333
113, 15.000
114, 20.000
115, 32.333
116, 79.000
117, 10.000
118, 12.333
119, 69.667
120, 120.000
121, 75.667
122, 16.667
123, 7.667
124, 4.000
125, 2.333
126, 9.000
127, 19.667
128, 88.667
129, 4.667
130, 12.667
131, 68.333
132, 135.667
133, 143.333
134, 141.333
135, 118.000
136, 19.667
137, 11.333
138, 49.333
139, 150.333
140, 120.667
141, 15.667
142, 2.000
143, 3.333
144, 5.333
145, 13.333
