X, Y
0, 223.667
1, 161.600
2, 87.267
3, 1.933
4, 0.533
5, 2.067
6, 1.667
7, 1.933
8, 1.000
9, 1.000
10, 1.000
11, 1.000
12, 1.000
13, 1.000
14, 1.000
15, 1.000
16, 1.000
17, 1.000
18, 1.000
19, 1.000
20, 1.000
21, 1.000
22, 1.000
23, 1.000
24, 1.000
25, 1.000
26, 1.000
27, 1.000
28, 1.000
29, 1.000
30, 1.000
31, 1.000
32, 1.000
33, 1.000
34, 1.000
35, 1.000
36, 1.000
37, 1.000
38, 1.000
39, 1.000
40, 1.000
41, 1.000
42, 1.000
43, 1.000
44, 1.000
45, 1.000
46, 1.000
47, 12.333
48, 59.333
49, 65.667
50, 20.000
51, 5.000
52, 3.333
53, 3.667
54, 2.333
55, 0.000
56, 2.333
57, 2.000
58, 4.333
59, 4.667
60, 2.333
61, 1.000
62, 3.667
63, 3.000
64, 2.333
65, 13.000
66, 44.667
67, 66.667
68, 57.667
69, 30.000
70, 7.667
71, 1.667
72, 1.000
73, 12.333
74, 29.333
75, 47.333
76, 62.000
77, 44.667
78, 13.667
79, 3.667
80, 1.000
81, 1.000
82, 1.000
83, 1.000
84, 1.667
85, 1.667
86, 1.667
87, 1.667
88, 1.333
89, 1.333
90, 2.333
91, 3.333
92, 3.333
93, 2.333
94, 2.333
95, 1.333
96, 2.000
97, 1.667
98, 1.667
99, 1.667
100, 2.000
101, 2.667
102, 3.667
103, 5.000
104, 6.667
105, 25.667
106, 25.667
107, 9.333
108, 4.667
109, 3.000
110, 0.667
111, 0.333
112, 2.333
113, 2.333
114, 3.000
115, 3.333
116, 3.000
117, 3.333
118, 5.000
119, 5.667
120, 4.333
121, 7.667
122, 16.333
123, 79.000
124, 125.667
125, 67.333
126, 12.000
127, 1.667
128, 4.667
129, 2.333
130, 27.667
131, 7.667
132, 5.333
133, 1.667
134, 5.000
135, 1.333
136, 1.667
137, 1.667
138, 1.667
139, 1.667
140, 1.667
141, 1.667
142, 1.667
143, 1.667
144, 4.000
145, 1.667
146, 2.000
147, 2.000
148, 3.000
149, 4.667
150, 36.333
151, 161.667
152, 164.667
153, 40.333
154, 8.333
155, 14.333
156, 97.333
157, 18.000
158, 6.667
159, 7.000
160, 1.667
161, 1.000
162, 1.000
163, 1.000
164, 1.000
165, 1.000
166, 1.000
167, 1.000
168, 1.000
169, 1.000
170, 1.000
171, 1.000
172, 1.000
173, 1.000
174, 1.000
175, 1.000
176, 1.000
177, 1.000
178, 1.000
179, 1.000
180, 1.000
181, 1.000
182, 1.000
183, 1.000
184, 1.000
185, 1.000
186, 1.000
187, 1.000
188, 1.000
189, 1.000
190, 1.000
191, 1.000
192, 2.667
193, 4.333
194, 3.333
195, 2.333
196, 3.000
197, 6.667
198, 70.000
199, 88.000
200, 6.333
201, 3.667
202, 1.667
203, 1.333
204, 6.333
205, 7.333
206, 4.000
207, 2.333
208, 2.333
209, 1.333
210, 4.333
211, 5.000
212, 5.667
213, 4.667
214, 3.000
215, 2.667
216, 6.000
217, 2.667
218, 5.000
219, 2.000
220, 4.333
221, 7.333
222, 83.333
223, 18.000
224, 2.667
225, 0.333
226, 4.000
227, 3.667
228, 2.000
229, 10.667
230, 20.667
231, 142.667
232, 142.667
233, 20.000
234, 3.333
235, 0.333
