X, Y
0, 224.095
1, 160.500
2, 87.286
3, 4.881
4, 4.167
5, 3.857
6, 1.881
7, 1.762
8, 1.000
9, 4.000
10, 3.333
11, 23.667
12, 94.000
13, 125.333
14, 129.000
15, 126.000
16, 114.000
17, 56.000
18, 18.000
19, 1.333
20, 0.333
21, 6.000
22, 1.667
23, 3.333
24, 3.000
25, 2.667
26, 5.333
27, 5.333
28, 4.000
29, 3.000
30, 5.333
31, 16.667
32, 81.000
33, 58.667
34, 19.667
35, 3.333
36, 3.333
37, 3.000
38, 2.333
39, 2.000
40, 1.333
41, 1.333
42, 4.000
43, 4.333
44, 2.667
45, 1.667
46, 2.667
47, 3.333
48, 5.667
49, 30.000
50, 91.000
51, 82.000
52, 24.333
53, 4.667
54, 2.333
55, 1.667
56, 2.333
57, 4.000
58, 2.333
59, 17.667
60, 57.667
61, 76.000
62, 48.667
63, 15.667
64, 5.000
65, 1.000
66, 1.000
67, 1.000
68, 1.000
69, 1.000
70, 1.000
71, 1.000
72, 1.000
73, 1.000
74, 1.000
75, 1.000
76, 1.000
77, 1.000
78, 1.000
79, 1.000
80, 1.000
81, 1.000
82, 1.000
83, 1.000
84, 1.000
85, 1.000
86, 1.000
87, 1.000
88, 1.000
89, 1.000
90, 1.000
91, 1.000
92, 1.000
93, 1.000
94, 1.000
95, 1.000
96, 1.000
97, 1.000
98, 1.000
99, 1.000
100, 1.000
101, 1.000
102, 1.000
103, 1.000
104, 1.000
105, 1.000
106, 1.000
107, 1.000
108, 1.000
109, 1.000
110, 1.000
111, 1.667
112, 1.667
113, 2.333
114, 4.333
115, 0.667
116, 4.000
117, 12.000
118, 81.333
119, 124.667
120, 120.667
121, 60.667
122, 138.000
123, 126.000
124, 20.667
125, 0.667
126, 5.000
127, 3.000
128, 6.333
129, 5.333
130, 5.000
131, 5.000
132, 5.000
133, 3.000
134, 1.333
135, 1.000
136, 0.667
137, 5.333
138, 6.000
139, 8.333
140, 25.667
141, 135.667
142, 147.000
143, 48.000
144, 6.667
145, 1.000
146, 1.000
147, 1.000
148, 1.000
149, 1.000
150, 1.000
151, 1.000
152, 1.000
153, 1.000
154, 1.000
155, 1.000
156, 1.000
157, 1.000
158, 1.000
159, 1.000
160, 2.000
161, 2.000
162, 1.667
163, 2.000
164, 1.667
165, 2.000
166, 3.000
167, 4.000
168, 5.333
169, 15.000
170, 143.000
171, 156.333
172, 41.333
173, 29.333
174, 5.667
175, 1.667
176, 3.000
177, 2.667
178, 1.333
179, 1.333
180, 2.000
181, 2.667
182, 3.333
183, 3.000
184, 4.000
185, 4.667
186, 10.000
187, 3.000
188, 1.333
189, 3.667
190, 12.667
191, 92.000
192, 128.667
193, 53.333
194, 5.333
195, 7.000
196, 3.000
197, 0.333
198, 4.000
199, 3.333
