X, Y
0, 160.077
1, 87.564
2, 2.000
3, 0.333
4, 2.000
5, 1.692
6, 2.538
7, 2.026
8, 3.000
9, 0.000
10, 0.000
11, 1.333
12, 2.000
13, 3.000
14, 8.000
15, 17.333
16, 53.000
17, 19.667
18, 22.667
19, 63.000
20, 30.000
21, 66.667
22, 18.667
23, 8.667
24, 5.000
25, 1.000
26, 1.000
27, 8.000
28, 15.333
29, 53.667
30, 30.000
31, 53.667
32, 25.000
33, 19.000
34, 32.000
35, 27.333
36, 13.333
37, 9.333
38, 13.000
39, 44.667
40, 36.000
41, 68.333
42, 66.333
43, 59.667
44, 70.667
45, 30.667
46, 8.333
47, 4.000
48, 0.667
49, 3.000
50, 8.000
51, 17.667
52, 53.667
53, 76.333
54, 75.000
55, 88.667
56, 87.000
57, 46.000
58, 33.667
59, 29.000
60, 35.667
61, 51.000
62, 39.333
63, 20.333
64, 16.667
65, 22.667
66, 26.667
67, 17.333
68, 5.667
69, 1.333
70, 1.333
71, 3.333
72, 12.000
73, 27.667
74, 26.333
75, 41.667
76, 30.000
77, 32.000
78, 45.667
79, 56.667
80, 48.000
81, 23.333
82, 16.000
83, 35.667
84, 27.000
85, 28.333
86, 49.333
87, 31.667
88, 30.333
89, 25.667
90, 48.000
91, 46.000
92, 21.667
93, 17.333
94, 27.667
95, 51.000
96, 60.667
97, 14.333
98, 5.333
99, 3.000
100, 4.333
101, 4.667
102, 7.000
103, 11.000
104, 41.667
105, 49.333
106, 88.667
107, 59.333
108, 12.667
109, 7.333
110, 1.333
111, 1.333
112, 1.000
113, 1.000
114, 1.000
115, 0.667
116, 1.667
117, 1.000
118, 1.333
119, 2.333
120, 3.333
121, 4.000
122, 5.667
123, 7.000
124, 12.667
125, 86.333
126, 12.667
127, 8.667
128, 7.000
129, 53.333
130, 40.000
131, 131.667
132, 60.333
133, 12.000
134, 4.333
135, 2.667
136, 1.333
137, 3.000
138, 6.000
139, 4.333
140, 2.667
141, 1.333
142, 2.333
143, 5.333
144, 9.667
145, 47.667
146, 64.667
147, 8.667
148, 5.000
149, 3.000
150, 1.333
151, 2.333
152, 1.333
153, 3.000
154, 4.667
155, 15.667
156, 76.333
157, 9.667
158, 5.000
159, 34.333
160, 102.667
161, 9.000
162, 4.000
163, 3.667
164, 5.000
165, 1.333
166, 5.333
167, 2.333
168, 4.000
169, 4.000
170, 3.333
171, 2.000
172, 1.333
173, 1.667
174, 4.000
175, 4.333
176, 2.667
177, 2.667
178, 2.000
179, 4.000
180, 4.000
181, 27.333
182, 73.000
183, 64.667
184, 15.333
185, 93.333
186, 102.333
187, 11.333
188, 8.333
189, 53.000
190, 36.000
191, 64.667
192, 5.667
193, 4.000
194, 3.667
195, 3.000
196, 3.333
197, 4.000
198, 4.000
199, 2.667
200, 2.667
201, 1.333
202, 1.333
203, 1.333
204, 2.000
205, 3.000
206, 3.333
207, 3.333
208, 3.667
209, 5.667
210, 7.000
211, 3.000
212, 5.667
213, 1.667
214, 4.333
215, 35.000
216, 65.333
217, 5.667
218, 2.667
219, 8.333
220, 9.333
221, 10.333
222, 5.000
223, 41.667
224, 20.667
225, 10.000
226, 65.333
227, 9.333
228, 10.333
229, 103.000
230, 135.667
231, 34.000
232, 12.000
233, 79.667
234, 21.000
235, 11.667
236, 69.333
237, 102.667
238, 10.333
239, 19.333
240, 52.333
241, 63.667
242, 37.333
243, 44.000
244, 26.333
245, 71.000
246, 5.000
247, 4.000
248, 2.667
249, 3.667
250, 2.667
251, 1.667
252, 1.667
253, 1.333
254, 1.667
255, 2.000
256, 1.000
257, 1.000
258, 1.000
259, 1.000
260, 1.000
261, 1.000
262, 1.000
263, 1.000
264, 1.000
265, 1.000
266, 1.000
267, 1.000
268, 1.000
269, 1.000
270, 1.000
271, 0.667
272, 1.000
273, 6.333
274, 89.000
275, 31.000
276, 1.000
277, 1.000
278, 2.333
279, 2.667
280, 3.000
281, 1.667
282, 0.667
283, 5.000
284, 82.667
285, 14.667
286, 79.000
287, 44.000
288, 99.000
289, 98.667
290, 166.000
291, 73.667
292, 4.667
293, 1.000
294, 3.000
295, 2.000
296, 1.667
297, 1.667
298, 1.667
299, 1.667
300, 2.667
301, 2.667
302, 3.000
303, 3.000
304, 1.000
305, 1.000
306, 1.000
307, 1.000
308, 1.000
309, 1.000
310, 1.000
311, 1.000
312, 1.000
313, 1.000
314, 1.000
315, 1.000
316, 1.000
317, 1.000
318, 1.000
319, 1.000
320, 1.000
321, 1.000
322, 1.000
323, 1.000
324, 1.000
325, 1.000
326, 1.000
327, 1.000
328, 1.000
329, 1.000
330, 1.000
331, 1.000
332, 1.000
333, 1.000
334, 1.000
335, 1.667
336, 44.000
337, 87.000
338, 5.333
339, 2.000
340, 1.667
341, 2.000
342, 4.333
343, 2.333
344, 3.000
345, 1.667
346, 3.333
347, 8.000
348, 118.667
349, 51.667
350, 6.000
351, 1.000
352, 1.000
353, 1.000
354, 1.000
355, 1.000
356, 1.000
357, 1.000
358, 1.000
359, 1.000
360, 1.000
361, 1.000
362, 1.000
363, 1.000
364, 1.000
365, 1.000
366, 1.000
367, 1.000
368, 2.000
369, 4.000
370, 4.000
371, 7.000
372, 2.000
373, 5.000
374, 5.667
375, 89.333
376, 9.333
377, 4.333
378, 6.000
379, 10.000
380, 54.667
381, 42.000
382, 8.000
383, 9.000
384, 104.333
385, 5.000
386, 3.000
387, 0.667
388, 1.667
389, 6.000
390, 15.333
391, 101.667
392, 126.667
393, 103.667
394, 15.333
395, 6.000
396, 5.000
397, 1.333
398, 7.000
399, 3.333
400, 9.000
401, 76.000
402, 13.333
403, 5.000
404, 4.333
405, 3.000
406, 2.333
407, 7.667
408, 3.667
409, 4.000
410, 5.000
411, 0.667
412, 3.000
413, 2.667
414, 7.667
415, 59.000
416, 12.667
417, 6.000
418, 1.333
419, 3.333
420, 4.333
421, 1.333
422, 2.000
423, 3.333
424, 3.000
425, 4.667
426, 1.000
427, 4.000
428, 21.000
429, 23.000
430, 14.333
431, 13.333
432, 42.667
433, 6.333
434, 1.333
435, 2.333
436, 4.000
437, 7.667
438, 28.000
439, 25.667
440, 9.333
441, 46.000
442, 33.667
443, 49.333
444, 84.333
445, 80.667
446, 54.333
447, 56.333
448, 20.667
449, 18.000
450, 45.000
451, 49.333
452, 58.000
453, 18.667
454, 7.000
455, 2.333
456, 4.000
457, 5.667
458, 12.333
459, 42.000
460, 35.333
