X, Y
0, 196.178
1, 187.867
2, 36.867
3, 13.422
4, 35.644
5, 107.333
6, 113.956
7, 58.622
8, 13.200
9, 5.956
10, 5.600
11, 20.000
12, 71.756
13, 110.156
14, 82.667
15, 31.200
16, 10.822
17, 5.333
18, 0.667
19, 10.667
20, 30.667
21, 88.667
22, 97.000
23, 60.667
24, 20.333
25, 7.667
26, 2.333
27, 1.667
28, 3.333
29, 3.333
30, 3.000
31, 2.667
32, 3.333
33, 3.000
34, 2.667
35, 2.000
36, 2.000
37, 3.000
38, 5.000
39, 7.667
40, 9.333
41, 53.333
42, 19.000
43, 17.000
44, 17.000
45, 35.333
46, 14.000
47, 9.667
48, 3.000
49, 4.333
50, 13.000
51, 38.667
52, 23.333
53, 9.667
54, 6.333
55, 2.667
56, 2.000
57, 2.333
58, 2.333
59, 1.667
60, 0.667
61, 1.000
62, 2.000
63, 2.333
64, 1.667
65, 6.000
66, 1.667
67, 1.000
68, 6.000
69, 15.667
70, 42.667
71, 77.000
72, 82.000
73, 89.333
74, 83.667
75, 84.000
76, 72.333
77, 62.333
78, 59.333
79, 30.667
80, 11.333
81, 4.000
82, 7.667
83, 15.000
84, 33.000
85, 58.333
86, 31.000
87, 13.000
88, 7.000
89, 8.000
90, 23.000
91, 61.667
92, 68.667
93, 67.000
94, 86.667
95, 58.333
96, 16.667
97, 5.000
98, 2.333
99, 6.333
100, 29.333
101, 81.667
102, 42.333
103, 19.667
104, 5.667
105, 3.000
106, 4.333
107, 3.333
108, 2.667
109, 1.667
110, 2.000
111, 2.000
112, 4.000
113, 7.667
114, 37.000
115, 106.333
116, 114.333
117, 86.667
118, 27.667
119, 82.667
120, 15.333
121, 6.333
122, 3.333
123, 4.667
124, 17.000
125, 86.333
126, 62.000
127, 122.333
128, 29.333
129, 10.667
130, 12.333
131, 37.000
132, 65.333
133, 111.667
134, 128.000
135, 63.333
136, 25.667
137, 44.667
138, 51.333
139, 9.333
140, 11.667
141, 98.333
142, 21.000
143, 11.000
144, 13.000
145, 51.333
146, 142.000
147, 148.333
148, 147.000
149, 153.000
150, 76.667
151, 153.667
152, 153.333
153, 79.667
154, 153.667
155, 158.667
156, 158.000
157, 77.667
158, 15.333
159, 4.000
160, 2.667
161, 6.000
162, 6.000
163, 22.667
164, 146.667
165, 98.000
166, 14.000
167, 2.667
168, 2.667
169, 24.333
170, 171.333
171, 175.333
172, 165.000
173, 164.667
174, 163.000
175, 144.000
176, 18.667
177, 4.667
178, 0.667
179, 2.333
180, 3.333
181, 1.000
182, 1.333
183, 4.667
184, 23.667
185, 49.667
186, 6.667
187, 10.000
188, 78.667
189, 147.333
190, 95.667
191, 10.000
192, 3.333
193, 3.000
194, 5.000
195, 4.000
196, 5.333
197, 2.333
198, 1.667
199, 1.000
200, 3.000
201, 3.667
202, 4.000
203, 29.333
204, 130.667
205, 123.667
206, 23.000
207, 15.667
208, 95.667
209, 8.000
210, 2.000
211, 3.667
212, 6.667
213, 5.667
214, 2.333
215, 5.000
216, 3.000
217, 2.000
218, 2.667
219, 2.667
220, 2.000
221, 1.667
222, 1.333
223, 1.333
224, 0.000
225, 0.000
226, 3.667
227, 0.667
228, 3.000
229, 9.000
230, 69.333
231, 128.000
232, 76.667
233, 8.333
234, 2.000
235, 4.000
236, 3.000
237, 0.333
238, 2.667
239, 0.667
240, 1.000
241, 1.000
242, 1.000
243, 1.000
244, 1.000
245, 1.000
246, 1.000
247, 1.000
248, 1.000
249, 1.000
250, 1.000
251, 2.000
252, 2.000
253, 3.000
254, 3.000
255, 3.000
256, 4.333
257, 4.333
258, 7.333
259, 4.000
260, 2.667
261, 4.000
262, 27.333
263, 147.000
264, 148.000
265, 10.000
266, 3.000
267, 5.000
268, 42.333
269, 148.333
270, 127.333
271, 16.667
272, 88.000
273, 147.667
274, 75.000
275, 94.667
276, 155.667
277, 65.333
278, 6.667
279, 1.000
280, 1.333
281, 1.000
282, 4.000
283, 3.667
284, 2.333
285, 2.333
286, 1.000
287, 1.333
288, 0.667
289, 8.667
290, 133.333
291, 2.667
292, 2.000
293, 3.333
294, 3.667
295, 3.000
296, 1.000
297, 0.667
298, 0.667
299, 1.000
300, 2.000
301, 1.667
302, 1.667
303, 1.000
304, 1.000
305, 1.000
306, 1.000
307, 1.000
308, 1.000
309, 1.000
310, 1.000
311, 1.000
312, 1.000
313, 1.000
314, 1.000
315, 1.000
316, 1.000
317, 1.000
318, 1.000
319, 1.000
320, 1.000
321, 1.000
322, 1.000
323, 1.000
324, 1.000
325, 1.000
326, 1.000
327, 1.000
328, 1.000
329, 1.000
330, 1.000
331, 1.000
332, 1.000
333, 1.000
334, 1.000
335, 1.000
336, 1.000
337, 2.333
338, 1.667
339, 6.000
340, 160.333
341, 2.333
342, 1.667
343, 0.667
344, 3.000
345, 6.333
346, 2.333
347, 0.667
348, 3.667
349, 10.000
350, 122.667
351, 20.000
352, 2.000
353, 1.000
354, 1.000
355, 1.000
356, 1.000
357, 1.000
358, 1.000
359, 1.000
360, 1.000
361, 1.000
362, 1.000
363, 1.000
364, 1.000
365, 1.000
366, 1.000
367, 1.333
368, 3.000
369, 3.667
370, 3.333
371, 3.667
372, 2.000
373, 1.667
374, 1.667
375, 1.667
376, 3.667
377, 7.000
378, 4.667
379, 3.667
380, 4.667
381, 117.333
382, 10.000
383, 1.667
384, 0.667
385, 1.333
386, 4.000
387, 4.333
388, 3.000
389, 2.333
390, 2.667
391, 3.000
392, 9.667
393, 108.000
394, 65.333
395, 138.333
396, 111.333
397, 14.667
398, 15.000
399, 141.667
400, 67.667
401, 13.667
402, 14.000
403, 81.333
404, 138.333
405, 78.667
406, 8.333
407, 5.667
408, 2.333
409, 3.333
410, 3.333
411, 5.667
412, 5.667
413, 8.000
414, 70.667
415, 122.667
416, 18.667
417, 5.667
418, 1.667
419, 6.000
420, 3.667
421, 3.333
422, 5.667
423, 1.333
424, 4.000
425, 4.333
426, 5.333
427, 5.667
428, 5.333
429, 4.667
430, 3.333
431, 2.333
432, 0.667
433, 1.000
434, 1.000
435, 1.000
436, 1.000
437, 1.000
438, 1.000
439, 1.000
440, 1.000
441, 1.000
442, 1.000
443, 1.000
444, 1.000
445, 1.000
446, 1.000
447, 1.000
448, 0.667
449, 2.000
450, 1.333
451, 10.000
452, 27.333
453, 86.333
454, 34.667
455, 11.667
456, 5.000
457, 5.667
458, 19.667
459, 61.667
460, 66.000
461, 17.333
462, 6.333
463, 3.667
464, 1.667
465, 1.000
466, 2.000
467, 2.667
468, 2.667
469, 3.000
470, 2.333
471, 1.667
472, 1.667
473, 5.667
474, 1.333
475, 5.667
476, 10.667
477, 39.333
478, 74.000
479, 23.000
480, 7.333
481, 2.333
482, 2.000
483, 1.667
484, 1.333
485, 1.333
486, 1.333
487, 1.333
488, 1.667
489, 1.667
490, 2.000
491, 1.667
492, 1.667
493, 1.333
494, 1.667
495, 1.667
496, 3.667
497, 4.000
498, 7.333
499, 5.000
500, 16.333
501, 51.000
502, 68.000
503, 37.333
504, 32.667
505, 70.000
506, 76.333
507, 65.000
508, 22.000
509, 10.333
510, 19.667
511, 67.667
512, 63.667
513, 21.000
514, 7.667
515, 1.333
516, 3.333
517, 3.000
518, 2.333
519, 0.667
520, 1.333
521, 3.667
522, 7.000
523, 8.000
524, 6.333
525, 4.667
526, 4.333
527, 3.333
528, 3.333
529, 2.667
530, 4.333
531, 3.000
532, 6.333
533, 3.667
534, 11.333
535, 47.667
536, 39.333
537, 13.667
538, 6.333
539, 5.000
540, 3.000
541, 5.667
542, 2.000
543, 4.000
544, 4.333
545, 3.333
546, 2.667
547, 1.000
548, 0.333
549, 1.333
550, 7.000
551, 13.333
552, 47.333
553, 56.333
554, 26.333
555, 9.333
556, 4.000
557, 3.667
