X, Y
0, 128.000
1, 92.667
2, 126.333
3, 125.333
4, 60.667
5, 44.000
6, 122.667
7, 123.000
8, 89.000
9, 28.667
10, 19.000
11, 32.000
12, 99.667
13, 58.333
14, 11.667
15, 2.333
16, 0.667
17, 16.667
18, 75.333
19, 111.000
20, 120.333
21, 125.333
22, 115.667
23, 115.333
24, 114.333
25, 120.667
26, 118.000
27, 118.667
28, 109.667
29, 100.667
30, 32.000
31, 8.667
32, 7.333
33, 29.333
34, 94.333
35, 95.333
36, 33.333
37, 41.000
38, 96.333
39, 81.000
40, 18.333
41, 19.333
42, 93.667
43, 95.333
44, 35.000
45, 45.000
46, 92.333
47, 101.000
48, 103.333
49, 98.333
50, 89.667
51, 58.333
52, 13.667
53, 0.667
54, 4.000
55, 1.333
56, 4.000
57, 8.000
58, 2.667
59, 16.667
60, 57.667
61, 84.667
62, 88.000
63, 89.667
64, 87.667
65, 89.000
66, 86.667
67, 79.667
68, 69.000
69, 38.333
70, 10.667
71, 2.000
72, 5.667
73, 3.000
74, 8.333
75, 2.000
76, 3.333
77, 14.667
78, 66.667
79, 49.667
80, 13.667
81, 3.333
82, 3.000
83, 1.667
84, 1.333
85, 0.667
86, 1.000
87, 6.667
88, 21.667
89, 76.000
90, 82.333
91, 61.000
92, 95.000
93, 60.000
94, 12.667
95, 12.333
96, 63.333
97, 94.000
98, 62.667
99, 97.667
100, 80.333
101, 28.667
102, 11.000
103, 8.000
104, 3.000
105, 11.333
106, 44.667
107, 102.667
108, 27.000
109, 7.667
110, 3.667
111, 1.333
112, 0.667
113, 4.000
114, 2.333
115, 14.667
116, 99.000
117, 124.667
118, 76.667
119, 91.000
120, 128.000
121, 127.667
122, 135.000
123, 129.667
124, 62.333
125, 10.000
126, 4.333
127, 2.667
128, 0.333
129, 2.333
130, 6.333
131, 5.667
132, 5.000
133, 3.000
134, 2.667
135, 11.000
136, 38.667
137, 142.000
138, 60.333
139, 11.667
140, 5.000
141, 1.667
142, 2.000
143, 2.333
144, 2.000
145, 9.333
146, 92.667
147, 151.000
148, 110.000
149, 13.333
150, 8.000
151, 0.667
152, 1.000
153, 9.667
154, 80.333
155, 166.667
156, 135.667
157, 27.667
158, 31.333
159, 162.000
160, 86.000
161, 15.667
162, 4.667
163, 13.667
164, 144.000
165, 168.333
166, 167.333
167, 166.000
168, 156.000
169, 153.000
170, 156.667
171, 152.667
172, 154.000
173, 157.000
174, 152.333
175, 50.000
176, 9.333
177, 3.333
178, 32.667
179, 142.000
180, 152.000
181, 32.667
182, 15.667
183, 92.333
184, 129.667
185, 121.667
186, 126.333
187, 90.333
188, 20.667
189, 96.667
190, 118.000
191, 108.000
192, 106.333
193, 99.667
194, 104.000
195, 104.333
196, 117.000
197, 40.000
198, 37.333
199, 111.000
200, 94.667
201, 88.333
202, 86.333
203, 96.667
204, 19.333
205, 63.333
206, 114.000
207, 63.667
208, 8.667
209, 8.000
210, 43.000
211, 107.333
212, 95.333
213, 90.667
214, 105.333
215, 69.000
216, 22.667
217, 108.333
218, 91.000
219, 14.667
220, 27.667
221, 123.667
222, 104.000
223, 105.333
224, 118.333
225, 32.667
226, 5.667
227, 2.333
228, 1.333
229, 1.000
230, 1.333
231, 11.333
232, 119.000
233, 101.333
234, 105.333
235, 116.000
236, 39.333
237, 121.333
238, 140.333
239, 35.667
240, 12.333
241, 66.000
242, 134.333
243, 91.667
244, 6.333
245, 1.000
246, 3.000
247, 2.667
248, 5.000
249, 3.667
250, 13.333
251, 146.333
252, 148.333
253, 34.667
254, 3.333
255, 4.333
256, 4.667
257, 8.000
258, 4.333
259, 3.667
260, 48.000
261, 152.667
262, 131.667
263, 13.000
264, 2.333
265, 2.000
266, 1.667
267, 1.667
268, 4.000
269, 4.333
270, 2.333
271, 1.667
272, 1.000
273, 1.000
274, 1.000
275, 1.000
276, 1.000
277, 1.000
278, 1.000
279, 1.000
280, 1.000
281, 1.000
282, 1.000
283, 1.000
284, 1.000
285, 1.000
286, 1.000
287, 1.667
288, 1.667
289, 1.000
290, 143.000
291, 7.333
292, 3.333
293, 2.333
294, 3.667
295, 3.667
296, 48.000
297, 182.333
298, 26.000
299, 3.333
300, 1.667
301, 2.333
302, 3.000
303, 0.667
304, 4.333
305, 4.333
306, 3.000
307, 2.000
308, 3.333
309, 2.000
310, 1.000
311, 1.000
312, 2.333
313, 57.333
314, 175.000
315, 146.000
316, 4.667
317, 4.667
318, 0.000
319, 3.333
320, 5.667
321, 6.000
322, 4.000
323, 4.000
324, 3.000
325, 2.000
326, 29.000
327, 189.333
328, 176.667
329, 177.667
330, 106.667
331, 3.000
332, 1.667
333, 7.333
334, 135.667
335, 134.333
336, 5.000
337, 4.000
338, 8.667
339, 120.667
340, 178.667
341, 13.667
342, 112.333
343, 154.333
344, 4.333
345, 2.667
346, 1.333
347, 3.000
348, 3.333
349, 5.667
350, 98.667
351, 179.667
352, 117.667
353, 12.333
354, 2.000
355, 4.000
356, 4.333
357, 8.667
358, 74.000
359, 172.667
360, 137.333
361, 12.333
362, 21.667
363, 178.000
364, 173.000
365, 38.333
366, 3.333
367, 5.333
368, 30.000
369, 161.333
370, 154.000
371, 124.333
372, 8.333
373, 6.333
374, 39.333
375, 167.000
376, 33.333
377, 4.333
378, 7.333
379, 2.667
380, 4.667
381, 4.333
382, 28.667
383, 146.667
384, 135.333
385, 138.667
386, 73.667
387, 9.333
388, 44.000
389, 143.000
390, 130.333
391, 134.000
392, 138.000
393, 23.333
394, 6.333
395, 2.667
396, 6.000
397, 53.333
398, 130.667
399, 128.333
400, 68.333
401, 19.333
402, 124.667
403, 121.667
404, 48.333
405, 122.667
406, 129.000
407, 117.667
408, 117.667
409, 114.333
410, 115.333
411, 117.333
412, 119.667
413, 18.000
414, 6.667
415, 3.333
416, 1.000
417, 6.667
418, 24.000
419, 114.667
420, 113.667
421, 109.000
422, 108.667
423, 54.667
424, 97.000
425, 110.000
426, 110.667
427, 103.667
428, 105.667
429, 97.000
430, 73.000
431, 54.333
432, 95.667
433, 21.333
434, 4.000
435, 2.000
436, 3.000
437, 3.333
438, 8.333
439, 45.000
440, 94.333
441, 93.667
442, 43.333
443, 14.000
444, 15.333
445, 51.333
446, 93.000
447, 62.333
448, 36.000
449, 75.000
450, 84.333
451, 48.333
452, 46.667
453, 86.333
454, 80.333
455, 68.333
456, 11.667
457, 14.333
458, 79.000
459, 87.667
460, 82.333
461, 82.000
462, 77.333
463, 28.667
464, 8.000
465, 8.333
466, 33.000
467, 77.000
468, 82.667
469, 82.667
470, 78.667
471, 33.333
472, 8.333
473, 9.333
474, 65.667
475, 48.333
476, 18.667
477, 23.333
478, 70.000
479, 77.000
480, 15.333
481, 1.333
482, 1.667
483, 4.667
484, 4.000
485, 8.667
486, 35.000
487, 67.333
488, 60.000
489, 36.667
490, 59.667
491, 65.333
492, 42.000
493, 23.667
494, 69.333
495, 68.333
496, 20.667
497, 7.000
498, 3.000
499, 3.333
500, 2.667
501, 0.000
502, 0.333
503, 2.000
504, 2.000
505, 2.000
506, 2.667
507, 2.667
508, 3.000
509, 3.000
510, 3.000
511, 2.333
512, 1.000
513, 7.000
514, 36.667
515, 63.667
516, 9.667
517, 8.667
518, 18.667
519, 47.333
520, 19.333
521, 43.333
522, 56.667
523, 42.667
524, 54.000
525, 61.667
526, 29.333
527, 22.667
528, 56.667
529, 59.667
530, 11.000
531, 4.667
532, 21.333
533, 52.000
534, 52.667
535, 56.000
536, 40.333
537, 14.000
538, 5.667
539, 1.000
540, 4.667
541, 5.000
542, 1.000
543, 5.333
544, 9.667
545, 25.000
546, 56.000
547, 45.333
548, 19.667
549, 35.667
550, 34.000
551, 16.667
552, 6.429
553, 16.667
554, 51.238
555, 22.381
556, 5.333
557, 3.238
