X, Y
0, 89.273
1, 3.424
2, 1.758
3, 24.848
4, 120.333
5, 123.758
6, 34.000
7, 3.333
8, 1.667
9, 5.667
10, 1.000
11, 1.000
12, 3.667
13, 7.000
14, 23.333
15, 65.333
16, 62.333
17, 60.000
18, 98.000
19, 125.333
20, 122.667
21, 118.667
22, 103.667
23, 39.000
24, 15.667
25, 8.333
26, 2.000
27, 2.667
28, 1.667
29, 3.000
30, 1.333
31, 1.000
32, 3.000
33, 2.333
34, 1.000
35, 1.333
36, 5.333
37, 16.667
38, 84.000
39, 53.333
40, 13.333
41, 5.333
42, 3.000
43, 18.667
44, 72.000
45, 90.000
46, 39.000
47, 11.333
48, 5.333
49, 1.000
50, 0.667
51, 6.000
52, 15.667
53, 47.333
54, 84.667
55, 65.667
56, 15.667
57, 0.667
58, 2.000
59, 0.667
60, 3.667
61, 0.667
62, 1.000
63, 1.000
64, 1.000
65, 1.000
66, 1.000
67, 1.000
68, 1.000
69, 1.000
70, 1.000
71, 1.000
72, 1.000
73, 1.000
74, 1.000
75, 1.000
76, 1.000
77, 1.000
78, 0.000
79, 15.000
80, 63.667
81, 83.667
82, 39.667
83, 11.333
84, 10.667
85, 5.667
86, 2.667
87, 1.000
88, 2.000
89, 2.333
90, 5.000
91, 5.000
92, 1.000
93, 1.000
94, 0.667
95, 1.000
96, 1.000
97, 1.000
98, 1.000
99, 1.000
100, 1.000
101, 1.000
102, 1.000
103, 1.000
104, 1.000
105, 1.000
106, 1.000
107, 1.000
108, 1.000
109, 1.000
110, 1.000
111, 1.000
112, 1.000
113, 1.000
114, 1.000
115, 1.000
116, 1.000
117, 1.000
118, 1.000
119, 1.000
120, 1.000
121, 1.000
122, 1.000
123, 1.000
124, 1.000
125, 1.000
126, 4.000
127, 7.667
128, 2.000
129, 3.000
130, 6.000
131, 12.000
132, 58.333
133, 140.333
134, 20.000
135, 6.333
136, 3.333
137, 6.333
138, 7.667
139, 4.000
140, 1.000
141, 1.000
142, 1.333
143, 1.333
144, 2.667
145, 2.333
146, 2.667
147, 2.000
148, 2.667
149, 2.667
150, 3.000
151, 4.667
152, 1.667
153, 9.667
154, 14.667
155, 112.333
156, 129.667
157, 26.667
158, 6.333
159, 2.333
160, 2.000
161, 1.667
162, 2.333
163, 2.333
164, 2.000
165, 1.667
166, 1.667
167, 9.000
168, 47.000
169, 165.333
170, 30.333
171, 4.667
172, 5.000
173, 10.000
174, 25.667
175, 2.667
176, 2.333
177, 0.667
178, 4.667
179, 1.667
180, 5.333
181, 64.333
182, 137.333
183, 140.000
184, 40.333
185, 6.000
186, 5.333
187, 1.333
188, 10.000
189, 5.333
190, 4.667
191, 3.333
192, 6.000
193, 5.000
194, 3.667
195, 2.000
196, 1.333
197, 1.000
198, 2.333
199, 6.333
200, 51.667
201, 121.333
202, 7.000
203, 3.333
204, 1.667
205, 3.000
206, 2.333
207, 1.000
208, 9.000
209, 3.000
210, 2.000
211, 10.667
212, 131.667
213, 41.333
214, 8.333
215, 2.000
216, 2.333
217, 6.333
218, 9.000
219, 5.000
220, 2.333
221, 3.333
222, 63.667
223, 26.333
224, 4.333
225, 1.333
226, 4.000
227, 3.000
228, 4.000
229, 2.333
230, 10.333
231, 90.333
232, 2.333
233, 2.333
234, 2.000
235, 1.000
236, 2.333
237, 1.667
238, 1.667
239, 1.000
240, 1.000
241, 1.000
242, 1.000
243, 1.000
244, 1.000
245, 1.000
246, 1.000
247, 1.000
248, 1.000
249, 1.000
250, 1.000
251, 1.000
252, 1.000
253, 1.000
254, 1.000
255, 1.000
256, 1.000
257, 1.000
258, 1.000
259, 1.000
260, 1.000
261, 1.000
262, 1.000
263, 1.000
264, 1.000
265, 1.000
266, 1.000
267, 1.000
268, 1.000
269, 1.000
270, 3.000
271, 3.667
272, 6.000
273, 4.333
274, 3.000
275, 2.000
276, 1.667
277, 2.667
278, 99.667
279, 22.333
280, 53.667
281, 29.333
282, 3.667
283, 3.000
284, 17.000
285, 54.000
286, 19.333
287, 183.333
288, 60.667
289, 3.333
290, 2.667
291, 1.667
292, 8.667
293, 133.333
294, 108.333
295, 6.000
296, 1.000
297, 0.667
298, 4.667
299, 57.667
300, 61.667
301, 166.333
302, 187.667
303, 37.333
304, 8.333
305, 132.333
306, 12.000
307, 102.333
308, 178.667
309, 8.667
310, 1.333
311, 1.333
312, 4.000
313, 2.000
314, 1.333
315, 5.667
316, 60.333
317, 191.000
318, 184.667
319, 85.333
320, 4.000
321, 4.000
322, 4.000
323, 4.667
324, 0.333
325, 0.667
326, 2.333
327, 2.333
328, 1.000
329, 2.333
330, 5.000
331, 5.333
332, 3.667
333, 2.333
334, 1.000
335, 1.000
336, 1.000
337, 1.000
338, 1.000
339, 1.000
340, 1.000
341, 1.000
342, 1.000
343, 1.000
344, 1.000
345, 1.000
346, 1.000
347, 1.000
348, 1.000
349, 1.000
350, 2.000
351, 4.000
352, 108.667
353, 9.667
354, 144.667
355, 89.667
356, 3.667
357, 0.333
358, 6.000
359, 7.000
360, 78.000
361, 33.333
362, 4.333
363, 6.000
364, 157.000
365, 69.667
366, 6.000
367, 7.667
368, 104.333
369, 147.000
370, 158.333
371, 25.000
372, 4.000
373, 2.333
374, 8.667
375, 98.000
376, 108.667
377, 72.667
378, 138.667
379, 11.333
380, 3.667
381, 1.000
382, 3.000
383, 17.000
384, 146.000
385, 43.667
386, 14.667
387, 81.000
388, 128.667
389, 70.667
390, 7.333
391, 1.000
392, 1.000
393, 3.000
394, 5.000
395, 6.000
396, 4.667
397, 9.000
398, 40.000
399, 132.333
400, 100.000
401, 14.333
402, 9.000
403, 36.333
404, 113.000
405, 112.333
406, 120.333
407, 30.333
408, 6.667
409, 4.667
410, 1.667
411, 2.333
412, 1.667
413, 1.667
414, 1.667
415, 0.667
416, 1.667
417, 2.333
418, 6.667
419, 7.333
420, 6.667
421, 5.333
422, 11.667
423, 53.667
424, 109.667
425, 63.333
426, 39.000
427, 90.333
428, 40.000
429, 9.000
430, 4.000
431, 1.000
432, 2.667
433, 9.667
434, 35.667
435, 86.667
436, 83.000
437, 26.333
438, 9.000
439, 4.333
440, 3.000
441, 3.000
442, 3.667
443, 5.000
444, 5.333
445, 4.000
446, 1.667
447, 1.000
448, 1.000
449, 1.000
450, 1.000
451, 1.000
452, 1.000
453, 1.000
454, 1.000
455, 1.000
456, 1.000
457, 1.000
458, 1.000
459, 1.000
460, 1.000
461, 6.000
462, 22.000
463, 70.333
464, 77.333
465, 75.333
466, 72.333
467, 36.333
468, 8.667
469, 1.667
470, 1.333
471, 6.000
472, 3.000
473, 2.000
474, 6.000
475, 5.000
476, 5.000
477, 19.667
478, 76.667
479, 75.000
480, 15.000
481, 2.000
482, 2.333
483, 8.333
484, 22.333
485, 66.000
486, 66.000
487, 36.000
488, 44.000
489, 67.667
490, 45.000
491, 15.667
492, 4.333
493, 1.333
494, 1.667
495, 4.000
496, 1.000
497, 0.333
498, 6.333
499, 10.667
500, 64.667
501, 65.333
502, 12.000
503, 12.667
504, 59.667
505, 66.000
506, 19.000
507, 3.000
508, 3.667
509, 5.000
510, 19.000
511, 41.000
512, 56.667
513, 33.000
514, 32.000
515, 54.667
516, 49.000
517, 39.667
518, 56.333
519, 45.333
520, 8.000
521, 3.000
522, 17.000
523, 50.667
524, 50.667
525, 59.667
526, 46.000
527, 13.333
528, 4.667
529, 1.667
530, 1.000
531, 5.000
532, 0.333
533, 2.333
