X, Y
0, 127.667
1, 120.786
2, 95.619
3, 123.714
4, 123.000
5, 119.738
6, 87.476
7, 111.333
8, 123.667
9, 127.762
10, 125.452
11, 126.571
12, 137.714
13, 128.667
14, 127.667
15, 106.000
16, 51.667
17, 20.667
18, 27.667
19, 75.000
20, 83.333
21, 54.667
22, 78.333
23, 61.667
24, 79.000
25, 109.333
26, 121.000
27, 116.000
28, 112.000
29, 109.667
30, 81.333
31, 102.667
32, 104.333
33, 110.000
34, 117.333
35, 113.333
36, 115.667
37, 114.000
38, 114.000
39, 109.333
40, 107.667
41, 107.333
42, 109.333
43, 109.667
44, 107.667
45, 103.667
46, 102.667
47, 102.333
48, 102.000
49, 102.333
50, 102.333
51, 102.000
52, 101.667
53, 101.333
54, 101.333
55, 100.000
56, 100.000
57, 98.667
58, 96.000
59, 95.000
60, 94.667
61, 85.667
62, 64.000
63, 23.667
64, 14.000
65, 14.000
66, 36.667
67, 55.333
68, 45.000
69, 62.667
70, 85.333
71, 77.667
72, 80.000
73, 64.000
74, 60.333
75, 73.667
76, 82.333
77, 85.667
78, 91.667
79, 78.000
80, 78.667
81, 52.333
82, 15.667
83, 6.000
84, 8.000
85, 21.667
86, 62.000
87, 89.000
88, 88.333
89, 100.333
90, 101.000
91, 92.333
92, 81.333
93, 27.667
94, 8.667
95, 1.333
96, 3.000
97, 5.333
98, 9.333
99, 42.333
100, 26.333
101, 10.000
102, 9.000
103, 2.667
104, 1.667
105, 2.333
106, 0.667
107, 1.667
108, 8.333
109, 18.667
110, 37.667
111, 7.667
112, 5.000
113, 6.000
114, 3.333
115, 5.000
116, 1.000
117, 5.000
118, 4.000
119, 2.333
120, 10.667
121, 41.000
122, 41.667
123, 11.000
124, 4.000
125, 2.667
126, 2.667
127, 2.333
128, 1.667
129, 1.333
130, 1.000
131, 1.000
132, 1.333
133, 1.667
134, 4.000
135, 5.000
136, 4.000
137, 9.000
138, 59.333
139, 38.667
140, 10.000
141, 3.000
142, 2.000
143, 1.000
144, 1.000
145, 1.000
146, 1.000
147, 1.000
148, 1.000
149, 1.000
150, 1.000
151, 1.000
152, 1.000
153, 1.000
154, 1.000
155, 1.000
156, 1.000
157, 0.667
158, 1.667
159, 3.000
160, 8.667
161, 102.333
162, 39.333
163, 76.333
164, 168.000
165, 131.000
166, 98.333
167, 174.667
168, 132.000
169, 85.000
170, 44.667
171, 22.333
172, 92.667
173, 161.667
174, 98.667
175, 13.000
176, 6.667
177, 8.333
178, 12.000
179, 149.667
180, 151.667
181, 41.667
182, 8.000
183, 2.333
184, 2.000
185, 5.333
186, 55.000
187, 39.667
188, 134.667
189, 126.333
190, 131.333
191, 117.333
192, 36.333
193, 32.667
194, 119.667
195, 35.333
196, 130.333
197, 129.667
198, 31.000
199, 7.000
200, 4.667
201, 25.000
202, 85.333
203, 5.333
204, 2.333
205, 3.000
206, 8.333
207, 88.667
208, 52.667
209, 117.333
210, 19.000
211, 36.000
212, 21.000
213, 71.667
214, 56.333
215, 73.000
216, 81.333
217, 83.000
218, 96.333
219, 99.000
220, 105.667
221, 86.667
222, 19.000
223, 19.333
224, 126.000
225, 88.000
226, 106.000
227, 22.000
228, 61.000
229, 118.667
230, 112.333
231, 109.333
232, 54.667
233, 47.667
234, 114.000
235, 66.667
236, 52.667
237, 89.333
238, 113.000
239, 102.667
240, 120.000
241, 118.333
242, 32.667
243, 28.667
244, 116.000
245, 104.667
246, 52.000
247, 44.333
248, 84.333
249, 118.000
250, 118.667
251, 118.000
252, 116.333
253, 35.000
254, 77.667
255, 14.000
256, 76.333
257, 136.000
258, 139.667
259, 39.333
260, 129.000
261, 123.000
262, 125.000
263, 123.000
264, 130.000
265, 129.667
266, 81.333
267, 78.333
268, 135.667
269, 134.000
270, 125.000
271, 126.667
272, 121.667
273, 132.333
274, 102.000
275, 63.000
276, 31.000
277, 5.667
278, 93.333
279, 25.667
280, 44.333
281, 144.333
282, 147.000
283, 139.333
284, 37.667
285, 4.667
286, 4.000
287, 111.667
288, 4.667
289, 9.000
290, 116.667
291, 3.667
292, 2.000
293, 4.667
294, 52.333
295, 183.333
296, 21.333
297, 8.333
298, 118.667
299, 141.333
300, 9.667
301, 5.000
302, 42.000
303, 170.000
304, 166.000
305, 112.333
306, 7.000
307, 1.333
308, 2.000
309, 96.000
310, 22.333
311, 7.333
312, 135.000
313, 9.000
314, 0.333
315, 3.000
316, 2.333
317, 2.667
318, 1.333
319, 3.000
320, 1.000
321, 1.333
322, 2.333
323, 91.667
324, 19.000
325, 1.000
326, 1.333
327, 23.667
328, 61.667
329, 7.667
330, 88.333
331, 108.333
332, 37.333
333, 1.333
334, 4.667
335, 115.333
336, 7.333
337, 2.000
338, 1.000
339, 1.333
340, 3.667
341, 4.333
342, 3.000
343, 6.333
344, 52.667
345, 88.333
346, 16.000
347, 69.667
348, 77.333
349, 41.000
350, 112.000
351, 9.333
352, 83.667
353, 6.333
354, 113.000
355, 130.667
356, 53.667
357, 158.000
358, 14.333
359, 100.667
360, 104.000
361, 8.333
362, 3.667
363, 3.333
364, 5.667
365, 3.333
366, 33.000
367, 154.000
368, 157.333
369, 122.000
370, 45.000
371, 12.667
372, 93.333
373, 94.000
374, 30.333
375, 57.000
376, 59.000
377, 5.333
378, 0.667
379, 4.667
380, 7.333
381, 78.333
382, 139.333
383, 12.667
384, 57.000
385, 30.667
386, 77.333
387, 14.000
388, 116.667
389, 7.000
390, 2.667
391, 4.667
392, 4.000
393, 7.000
394, 28.000
395, 75.333
396, 9.333
397, 4.333
398, 3.667
399, 5.000
400, 8.333
401, 85.333
402, 24.667
403, 53.667
404, 46.667
405, 5.000
406, 5.000
407, 55.667
408, 35.333
409, 60.333
410, 56.667
411, 83.667
412, 87.333
413, 44.000
414, 18.000
415, 70.667
416, 34.667
417, 72.333
418, 19.333
419, 95.667
420, 59.333
421, 39.667
422, 121.667
423, 49.333
424, 30.000
425, 9.333
426, 6.667
427, 0.000
428, 5.667
429, 1.000
430, 1.000
431, 3.000
432, 8.333
433, 81.333
434, 18.000
435, 6.000
436, 8.000
437, 14.333
438, 62.333
439, 8.000
440, 6.000
441, 7.333
442, 6.667
443, 15.000
444, 1.333
445, 2.667
446, 7.333
447, 17.000
448, 51.333
449, 66.000
450, 37.000
451, 42.333
452, 33.667
453, 86.333
454, 89.333
455, 34.000
456, 33.000
457, 28.000
458, 23.000
459, 47.667
460, 81.000
461, 81.667
462, 60.000
463, 16.333
464, 4.333
465, 2.333
466, 5.667
467, 20.667
468, 42.333
469, 11.333
470, 6.000
471, 5.667
472, 21.667
473, 42.333
474, 16.667
475, 6.333
476, 8.000
477, 19.000
478, 52.667
479, 9.000
480, 5.000
481, 5.333
482, 1.333
483, 4.000
484, 3.333
485, 5.667
486, 16.667
487, 45.333
488, 17.000
489, 4.667
490, 1.000
491, 4.000
492, 2.000
493, 1.333
494, 3.333
495, 3.000
496, 4.333
497, 4.333
498, 3.333
499, 3.000
500, 2.667
501, 3.333
502, 10.333
503, 42.667
504, 24.667
505, 6.667
506, 2.667
507, 0.000
508, 3.667
509, 2.333
510, 1.667
511, 1.000
512, 1.000
513, 1.000
514, 1.000
515, 1.000
516, 1.000
517, 1.000
518, 1.000
519, 1.000
520, 1.000
521, 1.000
522, 1.000
523, 1.000
524, 1.000
525, 1.000
526, 2.333
527, 2.000
528, 2.333
529, 3.333
530, 3.333
531, 3.667
532, 3.000
533, 3.000
534, 6.667
535, 19.667
536, 37.667
537, 8.667
538, 2.333
539, 5.000
540, 5.000
541, 3.000
542, 3.667
543, 1.000
544, 1.000
545, 3.000
546, 5.667
547, 7.000
548, 4.667
549, 1.667
550, 1.667
551, 3.333
552, 5.333
553, 34.000
554, 12.333
555, 9.000
556, 45.667
