X, Y
0, 90.028
1, 3.333
2, 8.500
3, 13.889
4, 22.417
5, 60.944
6, 13.111
7, 4.944
8, 1.000
9, 1.000
10, 0.667
11, 2.667
12, 3.333
13, 2.167
14, 1.167
15, 2.333
16, 0.667
17, 4.000
18, 1.667
19, 6.000
20, 7.000
21, 8.667
22, 40.333
23, 15.000
24, 8.333
25, 7.000
26, 8.667
27, 10.000
28, 4.000
29, 1.000
30, 1.667
31, 1.000
32, 1.000
33, 1.000
34, 1.000
35, 1.000
36, 1.000
37, 1.000
38, 1.000
39, 1.000
40, 1.000
41, 1.000
42, 1.000
43, 1.000
44, 1.000
45, 1.000
46, 1.000
47, 1.000
48, 1.000
49, 1.000
50, 1.000
51, 1.000
52, 1.000
53, 1.000
54, 1.000
55, 1.000
56, 1.000
57, 1.000
58, 1.000
59, 1.000
60, 1.000
61, 1.000
62, 1.000
63, 2.000
64, 2.000
65, 2.000
66, 1.333
67, 0.667
68, 3.000
69, 12.667
70, 18.667
71, 17.000
72, 8.667
73, 3.000
74, 2.333
75, 4.667
76, 2.333
77, 2.333
78, 3.333
79, 6.000
80, 4.667
81, 2.000
82, 8.667
83, 18.333
84, 38.333
85, 74.000
86, 54.333
87, 20.333
88, 8.333
89, 3.000
90, 3.000
91, 5.000
92, 5.000
93, 2.333
94, 0.333
95, 0.667
96, 1.000
97, 1.000
98, 1.000
99, 1.000
100, 1.000
101, 1.000
102, 1.000
103, 1.000
104, 1.000
105, 1.000
106, 1.000
107, 1.000
108, 1.000
109, 1.000
110, 1.000
111, 1.667
112, 1.000
113, 1.667
114, 1.000
115, 1.333
116, 1.000
117, 0.667
118, 1.667
119, 3.000
120, 2.667
121, 3.667
122, 7.333
123, 13.667
124, 89.333
125, 12.000
126, 7.000
127, 10.667
128, 19.000
129, 90.667
130, 10.333
131, 1.000
132, 5.667
133, 8.667
134, 5.000
135, 3.667
136, 3.333
137, 2.333
138, 2.333
139, 2.333
140, 3.000
141, 1.333
142, 1.333
143, 1.000
144, 1.000
145, 1.000
146, 1.000
147, 1.000
148, 1.000
149, 1.000
150, 1.000
151, 1.000
152, 1.000
153, 1.000
154, 1.000
155, 1.000
156, 1.000
157, 1.000
158, 1.000
159, 3.667
160, 1.000
161, 3.667
162, 3.333
163, 7.333
164, 2.667
165, 8.667
166, 56.667
167, 63.667
168, 9.333
169, 2.667
170, 4.000
171, 8.000
172, 3.667
173, 3.667
174, 2.667
175, 4.000
176, 3.667
177, 3.333
178, 2.000
179, 1.333
180, 2.333
181, 3.000
182, 5.667
183, 48.000
184, 153.667
185, 20.333
186, 5.333
187, 3.667
188, 8.333
189, 75.667
190, 3.000
191, 1.000
