X, Y
0, 20.333
1, 14.000
2, 19.833
3, 8.000
4, 3.917
5, 5.417
6, 11.667
7, 40.000
8, 95.667
9, 51.667
10, 9.333
11, 3.667
12, 2.000
13, 2.000
14, 0.667
15, 4.667
16, 12.000
17, 22.000
18, 10.000
19, 9.333
20, 12.333
21, 22.333
22, 7.000
23, 5.000
24, 26.333
25, 22.000
26, 14.000
27, 21.667
28, 12.000
29, 5.000
30, 4.667
31, 2.000
32, 3.667
33, 2.667
34, 30.667
35, 13.667
36, 5.333
37, 3.000
38, 4.000
39, 9.333
40, 4.000
41, 21.333
42, 34.000
43, 14.000
44, 3.000
45, 1.667
46, 2.667
47, 3.333
48, 16.000
49, 20.000
50, 7.667
51, 3.333
52, 4.000
53, 0.333
54, 0.000
55, 4.667
56, 17.333
57, 26.333
58, 19.000
59, 7.333
60, 1.667
61, 3.333
62, 4.333
63, 7.667
64, 10.000
65, 7.333
66, 3.000
67, 0.667
68, 0.333
69, 2.000
70, 3.000
71, 6.667
72, 10.667
73, 9.000
74, 5.000
75, 1.333
76, 0.667
77, 2.000
78, 3.667
79, 4.333
80, 3.000
81, 2.333
82, 2.333
83, 3.000
84, 5.000
85, 6.667
86, 9.000
87, 20.667
88, 4.333
89, 0.333
90, 2.333
91, 0.667
92, 6.667
93, 6.333
94, 15.333
95, 10.000
96, 4.000
97, 1.667
98, 0.000
99, 1.000
100, 2.000
101, 1.667
102, 3.000
103, 2.333
104, 1.667
105, 1.000
106, 0.667
107, 1.000
108, 1.667
109, 2.333
110, 7.000
111, 17.667
112, 13.333
113, 20.000
114, 21.000
115, 2.667
116, 0.000
117, 2.333
118, 2.333
119, 10.667
120, 55.333
121, 15.333
122, 16.000
123, 26.333
124, 5.000
125, 2.667
126, 1.333
127, 2.667
128, 2.667
129, 2.667
130, 2.000
131, 2.000
132, 1.333
133, 1.667
134, 1.333
135, 4.333
136, 3.667
137, 4.667
138, 15.333
139, 45.333
140, 23.667
141, 51.667
142, 29.667
143, 4.000
144, 6.000
145, 1.667
146, 4.000
147, 21.667
148, 64.667
149, 27.000
150, 71.000
151, 29.667
