X, Y
0, 1.042
1, 1.750
2, 5.583
3, 5.917
4, 4.917
5, 4.208
6, 1.792
7, 3.083
8, 6.333
9, 19.000
10, 40.333
11, 13.667
12, 9.333
13, 13.000
14, 9.000
15, 2.333
16, 3.333
17, 2.333
18, 1.000
19, 1.000
20, 0.667
21, 1.000
22, 1.000
23, 0.667
24, 2.333
25, 0.333
26, 6.333
27, 7.667
28, 13.333
29, 36.667
30, 45.667
31, 16.333
32, 7.000
33, 3.000
34, 3.000
35, 3.000
36, 3.000
37, 3.000
38, 3.000
39, 3.000
40, 3.000
41, 3.000
42, 3.000
43, 3.000
44, 3.000
45, 3.000
46, 3.000
47, 2.667
48, 1.667
49, 1.667
50, 2.000
51, 2.000
52, 1.667
53, 0.667
54, 0.667
55, 1.000
56, 1.000
57, 0.000
58, 2.333
59, 0.333
60, 2.000
61, 7.333
62, 11.667
63, 35.667
64, 21.333
65, 12.333
66, 8.333
67, 13.000
68, 28.667
69, 34.333
70, 26.333
71, 13.333
72, 2.667
73, 3.333
74, 5.333
75, 15.000
76, 16.667
77, 18.667
78, 28.333
79, 8.667
80, 1.000
81, 3.000
82, 0.667
83, 5.333
84, 6.000
85, 10.667
86, 28.000
87, 14.667
88, 6.333
89, 2.333
90, 0.667
91, 3.667
92, 3.000
93, 1.333
94, 7.000
95, 14.667
96, 14.333
97, 2.333
98, 0.000
99, 2.333
100, 3.667
101, 11.000
102, 30.333
103, 38.667
104, 8.333
105, 4.667
106, 3.667
107, 3.333
108, 5.667
109, 5.333
110, 4.667
111, 4.333
112, 2.333
113, 2.333
114, 1.333
115, 1.333
116, 1.000
117, 1.000
118, 1.000
119, 1.000
120, 0.000
121, 3.000
122, 1.333
123, 3.667
124, 4.000
125, 6.333
126, 38.000
127, 5.667
128, 1.667
129, 4.000
130, 8.000
131, 60.333
132, 11.333
133, 35.000
134, 10.000
135, 2.333
136, 2.667
137, 3.000
138, 3.667
139, 2.667
140, 3.000
141, 1.333
142, 1.000
143, 1.000
144, 1.000
145, 1.000
146, 1.667
147, 1.667
148, 2.333
149, 2.333
150, 2.667
151, 3.333
152, 6.667
153, 51.667
154, 4.000
155, 6.000
156, 6.667
157, 0.667
158, 3.667
159, 2.667
160, 4.667
