X, Y
0, 168.368
1, 121.035
2, 66.754
3, 20.877
4, 9.228
5, 23.860
6, 117.456
7, 134.456
8, 125.667
9, 92.667
10, 56.667
11, 91.088
12, 46.877
13, 16.421
14, 7.386
15, 6.333
16, 22.000
17, 71.667
18, 113.000
19, 121.667
20, 115.667
21, 79.333
22, 19.333
23, 4.000
24, 2.667
25, 2.333
26, 4.000
27, 4.667
28, 2.000
29, 5.000
30, 15.667
31, 49.333
32, 102.667
33, 84.333
34, 19.667
35, 29.333
36, 93.333
37, 91.667
38, 20.667
39, 14.667
40, 53.000
41, 96.667
42, 102.000
43, 97.000
44, 104.333
45, 71.000
46, 16.667
47, 1.333
48, 1.667
49, 4.667
50, 7.000
51, 7.000
52, 3.667
53, 2.333
54, 0.000
55, 0.000
56, 0.333
57, 2.000
58, 1.667
59, 15.333
60, 49.000
61, 75.667
62, 58.000
63, 62.000
64, 15.333
65, 1.667
66, 3.000
67, 16.667
68, 67.000
69, 71.667
70, 34.667
71, 12.000
72, 9.667
73, 1.667
74, 1.000
75, 7.333
76, 15.000
77, 39.000
78, 71.667
79, 70.000
80, 78.000
81, 74.667
82, 41.000
83, 14.667
84, 7.667
85, 5.333
86, 0.333
87, 5.667
88, 1.000
89, 2.333
90, 0.333
91, 13.333
92, 66.000
93, 99.333
94, 63.333
95, 81.000
96, 92.333
97, 49.333
98, 11.333
99, 3.667
100, 1.333
101, 6.667
102, 3.667
103, 7.000
104, 0.333
105, 1.333
106, 3.000
107, 18.667
108, 112.000
109, 120.333
110, 124.000
111, 120.333
112, 122.333
113, 123.000
114, 122.333
115, 128.667
116, 128.000
117, 106.667
118, 15.333
119, 3.000
120, 1.667
121, 1.667
122, 2.000
123, 2.667
124, 4.667
125, 4.000
126, 2.667
127, 1.667
128, 1.667
129, 1.667
130, 1.000
131, 1.000
132, 1.000
133, 1.000
134, 4.000
135, 1.000
136, 1.000
137, 4.000
138, 1.667
139, 0.333
140, 3.333
141, 22.333
142, 148.000
143, 146.333
144, 74.667
145, 153.667
146, 135.667
147, 23.333
148, 8.667
149, 0.667
150, 4.333
151, 11.667
152, 89.667
153, 157.667
154, 99.667
155, 108.667
156, 168.333
157, 162.667
158, 33.333
159, 7.667
160, 33.667
161, 174.333
162, 183.000
163, 47.000
164, 30.000
165, 130.000
166, 116.000
167, 26.333
168, 147.000
169, 160.333
170, 43.333
171, 64.333
172, 157.000
173, 62.333
174, 147.333
175, 133.333
176, 9.333
177, 10.333
178, 138.667
179, 133.667
180, 126.667
181, 125.333
182, 121.667
183, 124.333
184, 118.333
185, 125.667
186, 130.000
187, 34.333
188, 52.667
189, 130.333
190, 92.333
191, 13.000
