X, Y
0, 87.533
1, 2.133
2, 0.533
3, 1.800
4, 1.133
5, 1.667
6, 1.000
7, 1.000
8, 1.000
9, 1.000
10, 1.000
11, 1.000
12, 1.000
13, 14.667
14, 70.000
15, 101.000
16, 74.000
17, 33.000
18, 8.000
19, 19.333
20, 96.000
21, 116.000
22, 111.000
23, 94.667
24, 16.667
25, 2.000
26, 1.000
27, 3.000
28, 6.000
29, 0.667
30, 1.333
31, 1.667
32, 3.000
33, 3.000
34, 2.333
35, 1.333
36, 1.333
37, 2.333
38, 4.333
39, 9.333
40, 17.333
41, 52.000
42, 99.000
43, 90.667
44, 42.333
45, 15.000
46, 2.667
47, 0.667
48, 1.000
49, 8.667
50, 22.667
51, 28.000
52, 45.667
53, 76.333
54, 74.333
55, 66.333
56, 90.333
57, 91.000
58, 82.667
59, 63.333
60, 64.333
61, 87.000
62, 89.000
63, 78.000
64, 20.333
65, 20.000
66, 70.000
67, 86.667
68, 87.667
69, 88.667
70, 82.333
71, 88.667
72, 81.667
73, 73.000
74, 47.000
75, 27.333
76, 27.667
77, 19.333
78, 9.333
79, 13.667
80, 63.333
81, 83.000
82, 93.000
83, 93.000
84, 63.000
85, 70.000
86, 100.333
87, 99.333
88, 98.000
89, 100.000
90, 98.333
91, 96.667
92, 99.667
93, 105.667
94, 103.333
95, 109.000
96, 104.667
97, 105.333
98, 67.333
99, 84.000
100, 100.000
101, 69.333
102, 13.333
103, 6.667
104, 2.667
105, 6.000
106, 22.667
107, 74.000
108, 68.667
109, 15.667
110, 4.667
111, 1.000
112, 1.000
113, 1.000
114, 1.000
115, 1.000
116, 1.000
117, 1.000
118, 1.000
119, 1.000
120, 1.000
121, 1.000
122, 1.000
123, 1.000
124, 1.000
125, 1.000
126, 1.333
127, 2.333
128, 0.000
129, 10.000
130, 67.333
131, 133.000
132, 142.000
133, 140.333
134, 141.667
135, 77.667
136, 13.667
137, 9.000
138, 29.333
139, 128.667
140, 74.333
141, 20.667
142, 72.333
143, 149.000
144, 11.000
145, 4.667
146, 11.000
147, 66.667
148, 38.667
149, 9.000
150, 28.333
151, 115.333
152, 10.333
153, 1.000
154, 8.667
155, 7.667
156, 1.333
157, 2.333
158, 1.000
159, 1.000
160, 1.000
161, 1.000
162, 1.000
163, 1.000
164, 1.000
165, 1.000
166, 1.000
167, 1.000
168, 1.000
169, 1.000
170, 1.000
171, 1.000
172, 1.000
173, 1.000
174, 1.000
175, 1.000
176, 1.000
177, 1.000
178, 1.000
179, 1.000
180, 1.000
181, 1.000
182, 1.000
183, 1.000
184, 1.000
185, 1.000
186, 1.000
187, 1.000
188, 1.000
189, 1.000
190, 1.000
191, 1.000
