X, Y
0, 87.667
1, 1.944
2, 0.444
3, 1.778
4, 1.111
5, 1.389
6, 1.000
7, 1.000
8, 1.000
9, 1.000
10, 1.000
11, 1.000
12, 1.000
13, 1.000
14, 1.000
15, 1.000
16, 1.000
17, 1.000
18, 1.000
19, 1.000
20, 1.000
21, 1.000
22, 1.000
23, 1.000
24, 1.000
25, 1.000
26, 1.000
27, 1.000
28, 1.000
29, 1.667
30, 3.000
31, 2.333
32, 3.000
33, 3.000
34, 3.667
35, 3.667
36, 2.000
37, 1.667
38, 2.000
39, 16.667
40, 79.333
41, 66.667
42, 55.000
43, 71.333
44, 39.000
45, 34.333
46, 75.667
47, 35.667
48, 12.667
49, 2.333
50, 0.667
51, 4.333
52, 0.333
53, 2.333
54, 1.333
55, 2.333
56, 5.000
57, 5.000
58, 1.667
59, 1.667
60, 3.000
61, 3.333
62, 1.000
63, 0.333
64, 6.333
65, 10.667
66, 34.667
67, 70.000
68, 52.333
69, 70.000
70, 78.667
71, 75.667
72, 68.667
73, 55.333
74, 79.667
75, 81.000
76, 78.333
77, 48.667
78, 15.667
79, 4.000
80, 0.667
81, 7.333
82, 21.667
83, 54.333
84, 46.667
85, 16.667
86, 5.667
87, 2.000
88, 2.667
89, 2.667
90, 1.667
91, 1.667
92, 2.000
93, 11.667
94, 59.000
95, 83.667
96, 25.333
97, 39.667
98, 44.333
99, 15.000
100, 4.000
101, 9.667
102, 29.333
103, 95.667
104, 40.333
105, 12.667
106, 9.333
107, 7.667
108, 1.667
109, 8.667
110, 1.667
111, 1.000
112, 1.000
113, 1.000
114, 1.000
115, 1.000
116, 1.000
117, 1.000
118, 1.000
119, 1.000
120, 1.000
121, 1.000
122, 1.000
123, 1.000
124, 1.000
125, 3.000
126, 6.333
127, 41.333
128, 114.667
129, 112.000
130, 16.667
131, 0.333
132, 10.000
133, 5.333
134, 2.333
135, 3.000
136, 65.333
137, 13.667
138, 6.667
139, 1.667
140, 1.000
141, 6.667
142, 55.333
143, 107.000
144, 14.000
145, 5.667
146, 1.667
147, 1.667
148, 11.333
149, 32.667
150, 43.000
151, 6.667
152, 1.667
153, 2.000
154, 3.333
155, 8.000
156, 3.000
157, 4.333
158, 5.000
159, 2.333
160, 78.333
161, 12.333
162, 5.000
163, 4.333
164, 4.667
165, 0.333
166, 6.000
167, 4.000
168, 5.000
169, 3.667
170, 3.333
171, 1.667
172, 3.000
173, 2.333
174, 1.333
175, 3.000
176, 0.667
177, 1.333
178, 6.333
179, 2.667
180, 3.000
181, 18.000
182, 10.000
183, 0.333
184, 0.667
185, 1.333
186, 2.333
187, 10.667
188, 57.333
189, 7.000
190, 1.000
191, 1.000
192, 1.000
193, 1.000
194, 1.000
195, 1.000
196, 1.000
197, 1.000
198, 1.000
199, 1.000
200, 1.000
