X, Y
0, 160.667
1, 88.167
2, 3.500
3, 1.667
4, 6.167
5, 6.333
6, 7.167
7, 5.333
8, 1.000
9, 4.667
10, 3.000
11, 9.000
12, 26.000
13, 76.000
14, 112.000
15, 110.000
16, 53.667
17, 24.667
18, 35.667
19, 96.333
20, 121.000
21, 125.333
22, 131.333
23, 125.667
24, 124.333
25, 114.667
26, 110.667
27, 85.000
28, 108.000
29, 101.667
30, 58.333
31, 22.333
32, 17.000
33, 35.333
34, 90.667
35, 97.000
36, 80.333
37, 28.333
38, 7.000
39, 2.000
40, 7.333
41, 5.667
42, 22.000
43, 67.333
44, 53.667
45, 22.333
46, 7.333
47, 3.667
48, 2.000
49, 2.000
50, 2.667
51, 2.667
52, 3.000
53, 3.333
54, 4.667
55, 7.667
56, 14.333
57, 29.667
58, 66.667
59, 70.333
60, 39.000
61, 40.667
62, 67.000
63, 75.667
64, 75.667
65, 67.333
66, 50.000
67, 59.000
68, 64.333
69, 36.000
70, 24.333
71, 28.000
72, 52.000
73, 59.000
74, 50.000
75, 50.333
76, 69.333
77, 56.333
78, 21.333
79, 12.333
80, 12.667
81, 22.667
82, 63.667
83, 80.667
84, 48.333
85, 49.667
86, 68.000
87, 17.667
88, 10.333
89, 6.000
90, 5.000
91, 3.667
92, 4.000
93, 4.000
94, 5.333
95, 4.000
96, 1.333
97, 1.333
98, 3.000
99, 3.000
100, 4.667
101, 4.000
102, 5.000
103, 5.000
104, 4.667
105, 5.333
106, 20.333
107, 60.667
108, 110.333
109, 103.000
110, 50.000
111, 14.667
112, 6.000
113, 9.333
114, 6.000
115, 12.667
116, 42.333
117, 116.000
118, 126.000
119, 125.000
120, 125.000
121, 124.333
122, 128.000
123, 131.667
124, 75.333
125, 26.000
126, 59.000
127, 127.000
128, 135.000
129, 126.667
130, 38.333
131, 6.333
132, 4.667
133, 1.333
134, 3.667
135, 6.000
136, 4.667
137, 3.000
138, 1.667
139, 1.667
140, 2.667
141, 2.667
142, 2.000
143, 1.333
144, 1.000
145, 1.000
146, 1.000
147, 1.000
148, 1.000
149, 1.000
150, 1.000
151, 1.000
152, 1.000
153, 1.000
154, 1.000
155, 1.000
156, 1.000
157, 1.000
158, 1.000
159, 1.000
160, 5.000
161, 0.667
162, 1.333
163, 1.667
164, 1.667
165, 1.333
