X, Y
0, 87.375
1, 4.188
2, 1.562
3, 2.083
4, 3.583
5, 5.271
6, 5.333
7, 9.000
8, 1.000
9, 17.667
10, 98.667
11, 119.667
12, 54.667
13, 46.000
14, 119.333
15, 125.333
16, 99.667
17, 76.333
18, 77.667
19, 25.333
20, 11.000
21, 5.000
22, 1.667
23, 1.667
24, 3.000
25, 3.333
26, 2.667
27, 2.000
28, 1.333
29, 1.000
30, 2.000
31, 10.333
32, 49.667
33, 78.000
34, 35.333
35, 9.333
36, 5.667
37, 7.000
38, 3.333
39, 20.667
40, 89.333
41, 99.667
42, 27.667
43, 22.667
44, 78.667
45, 91.667
46, 82.000
47, 39.333
48, 11.000
49, 3.000
50, 0.333
51, 17.000
52, 81.667
53, 84.000
54, 25.667
55, 8.333
56, 3.000
57, 1.333
58, 3.667
59, 3.667
60, 1.667
61, 1.667
62, 3.000
63, 1.333
64, 2.000
65, 3.333
66, 1.333
67, 8.667
68, 32.667
69, 54.000
70, 60.333
71, 36.000
72, 13.333
73, 7.000
74, 16.667
75, 45.333
76, 81.000
77, 81.667
78, 62.333
79, 26.333
80, 16.667
81, 30.000
82, 86.000
83, 93.000
84, 97.333
85, 91.667
86, 105.000
87, 93.333
88, 35.000
89, 50.333
90, 86.667
91, 71.667
92, 14.000
93, 1.000
94, 1.000
95, 24.000
96, 94.667
97, 108.333
98, 114.667
99, 109.667
100, 112.667
101, 106.000
102, 33.000
103, 14.667
104, 23.333
105, 89.333
106, 117.000
107, 109.333
108, 72.333
109, 111.333
110, 84.333
111, 30.667
112, 42.000
113, 108.667
114, 110.667
115, 20.000
116, 9.333
117, 12.333
118, 70.333
119, 120.000
120, 74.667
121, 17.000
122, 5.667
123, 1.667
124, 2.333
125, 4.333
126, 1.333
127, 1.000
128, 1.000
129, 1.000
130, 1.000
131, 1.000
132, 1.000
133, 1.000
134, 1.000
135, 1.000
136, 1.000
137, 1.000
138, 1.000
139, 1.000
140, 1.000
141, 1.000
142, 1.333
143, 2.000
144, 3.333
145, 4.667
146, 5.667
147, 3.333
148, 3.000
149, 2.000
150, 0.333
151, 4.667
152, 4.000
153, 5.000
154, 19.667
155, 116.333
156, 161.667
157, 86.333
158, 8.667
159, 1.333
160, 2.000
161, 2.000
162, 3.333
163, 3.333
164, 3.000
165, 4.333
166, 20.000
167, 109.667
168, 128.333
169, 26.667
170, 126.667
171, 152.000
172, 148.333
173, 114.000
174, 91.333
175, 157.667
176, 86.333
177, 10.333
178, 3.333
179, 2.667
180, 2.333
181, 2.333
182, 2.333
183, 2.333
184, 2.333
185, 2.000
186, 3.667
187, 3.000
188, 1.667
189, 1.000
190, 1.000
191, 1.000
192, 1.000
193, 1.000
194, 1.000
195, 1.000
196, 1.000
197, 1.000
198, 1.000
199, 1.000
200, 1.000
201, 1.000
202, 1.000
203, 1.000
204, 1.000
205, 1.667
206, 2.333
207, 2.667
208, 15.333
209, 121.333
210, 68.000
211, 7.333
212, 1.333
213, 3.667
214, 13.000
215, 69.333
216, 126.000
217, 12.000
218, 3.333
219, 3.000
220, 4.000
221, 3.333
222, 13.667
223, 97.667
224, 101.667
225, 18.000
226, 106.333
227, 122.667
228, 21.000
229, 3.000
230, 0.667
231, 2.333
232, 1.000
233, 16.333
234, 121.000
235, 122.333
236, 17.333
237, 79.000
238, 140.000
239, 61.667
240, 5.333
241, 6.000
242, 82.667
243, 134.667
244, 68.000
245, 6.667
246, 1.667
247, 7.667
248, 126.333
249, 119.000
250, 117.333
251, 140.667
252, 33.000
253, 37.333
254, 137.333
255, 103.000
256, 12.667
257, 126.000
258, 152.000
259, 43.667
260, 10.333
261, 79.000
262, 143.333
263, 132.667
264, 135.000
265, 93.000
266, 80.000
267, 156.000
268, 161.000
269, 43.667
270, 140.667
271, 130.333
272, 153.333
273, 65.667
274, 3.333
275, 4.333
276, 3.333
277, 36.333
278, 154.333
279, 135.000
280, 6.333
281, 1.333
282, 8.333
283, 5.000
284, 5.333
285, 76.667
286, 153.333
287, 159.000
288, 47.667
289, 4.333
290, 2.333
291, 3.333
292, 1.667
293, 1.333
294, 2.667
295, 2.333
296, 2.667
297, 3.000
298, 5.000
299, 5.000
300, 2.667
301, 2.000
302, 2.667
303, 3.667
304, 3.000
305, 3.000
306, 3.000
307, 2.000
308, 2.333
309, 3.000
310, 4.333
311, 4.333
312, 100.000
313, 148.667
314, 3.667
315, 2.333
316, 1.333
317, 4.000
318, 1.667
319, 1.000
320, 1.000
321, 1.000
322, 1.000
323, 1.000
324, 1.000
325, 1.000
326, 1.000
327, 1.000
328, 1.000
329, 1.000
330, 1.000
331, 1.000
332, 1.000
333, 1.000
334, 1.000
335, 1.000
336, 1.000
337, 1.000
338, 1.000
339, 1.000
340, 1.000
341, 1.000
342, 1.000
343, 1.000
344, 1.000
345, 1.000
346, 1.000
347, 1.000
348, 1.000
349, 1.000
350, 1.667
351, 1.667
352, 3.333
353, 3.000
354, 1.667
355, 2.000
356, 3.000
357, 5.333
358, 12.333
359, 162.333
360, 82.667
361, 5.667
362, 4.333
363, 4.000
364, 41.667
365, 150.667
366, 142.000
367, 140.000
368, 138.000
369, 138.667
370, 141.000
371, 142.667
372, 149.667
373, 42.000
374, 4.667
375, 8.000
376, 126.000
377, 144.000
378, 52.000
379, 153.667
380, 46.000
381, 4.333
382, 1.000
383, 2.333
384, 1.333
385, 7.333
386, 45.000
387, 144.667
388, 15.000
389, 9.000
390, 101.333
391, 125.667
392, 45.667
393, 7.000
394, 6.333
395, 8.333
396, 60.000
397, 124.667
398, 93.000
399, 12.000
400, 4.000
401, 5.667
402, 23.667
403, 123.000
404, 42.667
405, 8.333
406, 4.000
407, 2.000
408, 1.333
409, 1.333
410, 2.000
411, 2.000
412, 2.000
413, 2.000
414, 3.000
415, 3.000
416, 6.333
417, 5.333
418, 3.667
419, 2.333
420, 2.000
421, 1.667
422, 2.667
423, 2.333
424, 1.333
425, 7.667
426, 24.000
427, 94.000
428, 96.667
429, 33.333
430, 7.667
431, 2.000
432, 6.000
433, 7.000
434, 32.000
435, 93.000
436, 17.667
437, 14.333
438, 28.667
439, 77.667
440, 84.667
441, 38.667
442, 28.333
443, 61.000
444, 79.000
445, 56.000
446, 10.000
447, 8.333
448, 30.667
449, 82.000
450, 49.667
451, 75.667
452, 80.667
453, 81.667
454, 47.000
455, 15.667
456, 5.333
457, 1.333
458, 2.000
459, 6.333
460, 1.333
461, 3.667
462, 1.667
463, 1.000
464, 1.000
465, 1.000
466, 1.000
467, 1.000
468, 1.000
469, 1.000
470, 1.000
471, 1.000
472, 1.000
473, 1.000
474, 1.000
475, 1.000
476, 1.000
477, 1.667
478, 3.333
479, 3.333
480, 2.667
481, 2.667
482, 3.333
483, 3.000
484, 1.333
485, 1.333
486, 6.000
487, 5.333
488, 5.667
489, 17.667
490, 65.333
491, 71.667
492, 17.333
493, 3.667
494, 1.667
495, 1.000
496, 1.000
497, 1.000
498, 1.000
499, 1.000
500, 1.000
501, 1.000
502, 1.000
503, 1.000
504, 1.000
505, 1.000
506, 1.000
507, 1.000
508, 1.000
509, 1.000
510, 1.000
511, 1.000
512, 1.000
513, 1.000
514, 1.000
515, 1.000
516, 1.000
517, 1.000
518, 1.000
519, 1.000
520, 1.000
521, 1.000
522, 1.000
523, 1.000
524, 1.000
525, 1.000
526, 1.000
527, 1.000
528, 1.000
529, 1.000
530, 1.000
531, 1.000
532, 1.667
533, 1.667
534, 2.667
