X, Y
0, 33.231
1, 0.000
2, 2.385
3, 0.846
4, 0.538
5, 2.462
6, 1.000
7, 1.000
8, 1.000
9, 1.000
10, 1.000
11, 1.000
12, 1.000
13, 1.000
14, 5.667
15, 1.000
16, 0.667
17, 2.333
18, 1.333
19, 2.667
20, 12.000
21, 29.667
22, 77.333
23, 103.000
24, 72.667
25, 69.000
26, 101.333
27, 113.333
28, 115.667
29, 115.667
30, 102.333
31, 83.667
32, 32.667
33, 9.667
34, 5.333
35, 1.000
36, 4.000
37, 2.333
38, 4.333
39, 3.333
40, 3.000
41, 2.000
42, 1.333
43, 2.000
44, 2.667
45, 10.333
46, 29.000
47, 64.333
48, 82.667
49, 44.333
50, 14.000
51, 10.667
52, 17.333
53, 36.667
54, 64.000
55, 41.333
56, 12.333
57, 1.667
58, 3.000
59, 3.667
60, 6.000
61, 9.667
62, 20.000
63, 23.000
64, 13.333
65, 6.333
66, 7.000
67, 2.000
68, 0.000
69, 3.000
70, 0.667
71, 0.667
72, 1.667
73, 1.667
74, 2.000
75, 2.000
76, 1.667
77, 1.667
78, 1.000
79, 1.000
80, 1.000
81, 1.000
82, 1.000
83, 1.000
84, 1.000
85, 1.000
86, 1.000
87, 1.000
88, 1.000
89, 1.000
90, 1.000
91, 1.000
92, 1.000
93, 1.000
94, 1.000
95, 1.000
96, 1.000
97, 1.000
98, 1.000
99, 1.000
100, 1.000
101, 1.000
102, 1.000
103, 1.000
104, 1.000
105, 1.000
106, 1.000
107, 1.000
108, 1.000
109, 1.000
110, 1.000
111, 1.000
112, 1.000
113, 1.000
114, 1.000
115, 1.000
116, 1.000
117, 1.000
118, 1.000
119, 1.000
120, 1.000
121, 1.000
122, 1.000
123, 1.000
124, 1.000
125, 1.000
126, 3.667
127, 7.333
128, 10.000
129, 46.667
130, 135.667
131, 128.000
132, 101.333
133, 37.667
134, 118.333
135, 128.667
136, 66.000
137, 13.667
138, 5.000
139, 2.000
140, 3.000
141, 3.000
142, 1.667
143, 2.667
144, 3.000
145, 3.333
146, 4.667
147, 3.333
148, 2.667
149, 2.333
150, 7.333
151, 12.333
152, 76.667
153, 150.333
154, 128.000
155, 17.333
156, 4.333
157, 1.667
158, 0.667
159, 1.000
160, 2.667
161, 2.333
162, 2.000
163, 2.000
164, 1.667
165, 1.000
166, 2.000
167, 0.667
168, 0.333
169, 1.000
170, 2.667
171, 5.667
172, 14.667
173, 136.333
174, 170.000
175, 63.000
176, 12.333
177, 3.667
178, 3.333
179, 1.333
180, 0.667
181, 6.333
182, 0.333
183, 1.333
184, 6.000
185, 59.333
186, 144.667
187, 131.000
188, 13.333
189, 2.667
190, 1.000
191, 1.000
192, 1.000
193, 1.000
194, 1.000
195, 1.000
196, 1.000
197, 1.000
198, 1.000
199, 1.000
200, 1.000
201, 1.000
202, 1.000
203, 1.000
204, 1.000
205, 1.000
206, 1.000
207, 1.000
208, 1.000
209, 1.000
210, 1.000
211, 1.000
212, 1.000
213, 1.000
214, 1.000
215, 1.000
216, 1.000
217, 1.000
218, 1.000
219, 1.000
220, 1.000
221, 1.000
222, 1.000
223, 1.000
224, 1.000
225, 1.000
226, 1.000
227, 1.000
228, 1.000
229, 1.000
230, 1.000
231, 1.000
232, 1.000
233, 1.000
234, 1.000
235, 1.000
236, 1.000
237, 1.000
238, 1.000
239, 1.000
240, 1.000
241, 1.000
242, 1.000
243, 1.000
244, 1.000
245, 1.000
246, 1.000
247, 1.000
248, 1.000
249, 1.000
250, 1.000
251, 1.000
252, 1.000
253, 1.000
254, 2.333
255, 2.333
256, 2.000
257, 2.667
258, 3.000
259, 3.333
260, 4.000
261, 4.000
262, 4.333
263, 5.667
264, 4.000
265, 3.000
266, 7.333
267, 84.000
268, 146.667
269, 142.667
270, 50.000
271, 10.333
272, 62.000
273, 157.000
274, 117.000
275, 18.333
276, 113.333
277, 163.333
278, 72.667
279, 4.333
280, 4.667
281, 4.000
282, 21.667
283, 157.333
284, 162.333
285, 13.000
286, 4.000
287, 1.667
288, 2.667
289, 5.333
290, 2.333
291, 3.333
292, 5.667
293, 141.667
294, 167.000
295, 54.333
296, 6.667
297, 2.000
298, 4.000
299, 2.000
300, 6.333
301, 128.333
302, 172.333
303, 68.000
304, 6.000
305, 3.333
306, 5.333
307, 148.667
308, 158.667
309, 153.333
310, 153.333
311, 152.667
312, 161.333
313, 133.333
314, 6.000
315, 2.000
316, 3.000
317, 3.667
318, 4.000
319, 7.667
320, 111.000
321, 170.333
322, 9.667
323, 0.667
324, 2.333
325, 4.667
326, 2.333
327, 2.000
328, 3.000
329, 3.000
330, 3.000
331, 3.000
332, 3.333
333, 2.667
334, 3.667
335, 1.667
336, 4.000
337, 3.667
338, 7.667
339, 4.000
340, 8.667
341, 191.667
342, 191.000
343, 42.000
344, 4.667
345, 5.667
346, 3.333
347, 2.333
348, 3.000
349, 2.333
350, 1.000
351, 1.000
352, 1.000
353, 1.000
354, 1.000
355, 1.000
356, 1.000
357, 1.000
358, 1.000
359, 1.000
360, 1.000
361, 1.000
362, 1.000
363, 1.000
364, 1.000
365, 1.000
366, 1.000
367, 1.000
368, 1.000
369, 1.000
370, 1.000
371, 1.000
372, 1.000
373, 1.000
374, 1.000
375, 1.000
376, 1.000
377, 1.000
378, 1.000
379, 1.000
380, 1.000
381, 1.000
382, 5.000
383, 5.333
384, 77.667
385, 147.333
386, 104.000
387, 11.667
388, 3.333
389, 2.000
390, 1.667
391, 1.333
392, 2.667
393, 2.667
394, 2.000
395, 2.000
396, 2.667
397, 2.667
398, 1.000
399, 1.000
400, 1.000
401, 1.000
402, 1.000
403, 1.000
404, 1.000
405, 1.000
406, 1.000
407, 1.000
408, 1.000
409, 1.000
410, 1.000
411, 1.000
412, 1.000
413, 1.000
414, 3.000
415, 2.667
416, 2.000
417, 1.333
418, 3.333
419, 3.000
420, 3.000
421, 3.000
422, 1.000
423, 6.000
424, 2.333
425, 2.000
426, 4.333
427, 9.667
428, 42.333
429, 114.333
430, 97.000
431, 33.667
432, 67.000
433, 102.000
434, 109.333
435, 98.667
436, 20.667
437, 5.667
438, 4.000
439, 4.000
440, 4.000
441, 3.333
442, 2.000
443, 2.000
444, 5.333
445, 7.333
446, 19.667
447, 93.000
448, 96.333
449, 91.333
450, 93.000
451, 59.667
452, 74.667
