X, Y
0, 87.733
1, 2.133
2, 0.400
3, 1.667
4, 1.000
5, 1.600
6, 1.000
7, 1.000
8, 1.000
9, 1.000
10, 1.000
11, 1.000
12, 1.000
13, 1.000
14, 2.667
15, 6.000
16, 26.667
17, 34.333
18, 36.333
19, 51.667
20, 22.000
21, 24.333
22, 16.000
23, 5.000
24, 1.667
25, 4.333
26, 7.000
27, 3.333
28, 1.667
29, 4.000
30, 1.667
31, 3.000
32, 3.333
33, 1.333
34, 3.333
35, 10.000
36, 42.667
37, 30.000
38, 7.000
39, 2.000
40, 4.000
41, 4.000
42, 2.667
43, 2.000
44, 2.333
45, 2.333
46, 1.000
47, 1.000
48, 1.000
49, 1.667
50, 2.333
51, 2.000
52, 2.000
53, 1.000
54, 1.000
55, 0.000
56, 2.333
57, 7.667
58, 12.333
59, 15.000
60, 21.333
61, 30.333
62, 21.000
63, 14.667
64, 8.333
65, 4.667
66, 3.000
67, 2.667
68, 1.000
69, 0.000
70, 0.667
71, 0.667
72, 1.667
73, 1.667
74, 1.667
75, 1.000
76, 1.000
77, 1.000
78, 2.333
79, 2.333
80, 2.333
81, 1.000
82, 1.000
83, 1.000
84, 1.667
85, 2.333
86, 3.667
87, 3.000
88, 4.333
89, 9.333
90, 9.333
91, 3.000
92, 2.333
93, 3.333
94, 4.000
95, 3.333
96, 5.333
97, 2.000
98, 1.000
99, 10.667
100, 63.000
101, 25.333
102, 23.000
103, 65.000
104, 66.000
105, 24.333
106, 6.667
107, 3.667
108, 0.333
109, 1.333
110, 2.333
111, 14.000
112, 95.333
113, 114.000
114, 47.000
115, 21.000
116, 17.667
117, 2.000
118, 3.333
119, 6.667
120, 26.333
121, 33.000
122, 9.667
123, 31.000
124, 19.000
125, 4.333
126, 1.000
127, 2.000
128, 8.333
129, 15.000
130, 72.333
131, 16.000
132, 42.333
133, 12.667
134, 6.000
135, 1.000
136, 1.667
137, 3.667
138, 2.000
139, 2.000
140, 7.000
141, 21.000
142, 86.333
143, 109.000
144, 135.667
145, 61.667
146, 37.667
147, 91.000
148, 103.333
149, 59.667
150, 60.667
151, 12.333
152, 4.000
153, 5.000
154, 2.667
155, 4.667
156, 1.000
157, 1.000
158, 1.000
159, 1.000
160, 1.000
161, 1.000
162, 0.667
163, 0.667
164, 1.000
165, 1.000
166, 1.667
167, 1.000
168, 1.667
169, 2.000
170, 4.333
171, 64.333
172, 47.667
173, 10.000
174, 0.667
175, 1.333
176, 3.000
177, 2.333
178, 2.333
179, 2.333
180, 1.667
181, 2.000
182, 112.667
183, 16.000
184, 3.333
185, 4.667
186, 14.333
187, 109.000
188, 136.333
189, 43.333
190, 113.000
191, 117.000
192, 17.333
193, 2.667
194, 8.000
195, 6.333
196, 4.000
197, 1.667
198, 0.333
199, 1.333
200, 3.000
201, 4.000
202, 5.333
203, 3.333
204, 3.000
205, 2.000
206, 4.333
207, 3.000
208, 8.000
209, 3.667
210, 3.000
211, 4.000
212, 9.667
213, 86.333
214, 104.667
215, 13.333
216, 28.000
217, 3.667
218, 0.667
219, 3.667
220, 0.000
221, 2.000
222, 1.000
223, 1.000
224, 1.000
225, 1.000
226, 1.000
227, 1.000
228, 1.000
229, 1.000
230, 1.000
231, 1.000
232, 1.000
233, 1.000
234, 1.000
235, 1.000
236, 1.000
237, 1.000
238, 1.000
239, 1.000
240, 1.000
241, 1.000
242, 1.000
243, 1.000
244, 1.000
245, 1.000
246, 1.000
247, 1.000
248, 1.000
249, 1.000
250, 1.000
251, 1.000
252, 1.000
253, 1.000
254, 1.333
255, 2.000
256, 4.000
257, 3.333
258, 2.000
259, 2.000
260, 4.333
261, 3.333
262, 48.333
263, 2.333
264, 4.000
265, 2.000
266, 44.333
267, 9.333
268, 2.333
269, 5.667
270, 115.333
271, 8.333
272, 3.333
273, 2.333
274, 130.333
275, 10.000
276, 0.667
277, 0.000
278, 1.000
279, 1.000
280, 1.667
281, 2.333
282, 1.667
283, 1.667
284, 2.333
285, 2.333
286, 4.333
287, 4.000
288, 3.333
289, 1.333
290, 1.333
291, 2.667
292, 8.000
293, 138.333
294, 3.667
295, 1.000
296, 4.333
297, 82.000
298, 184.667
299, 10.667
300, 12.000
301, 175.667
302, 91.333
303, 10.000
304, 62.667
305, 176.333
306, 129.667
307, 89.000
308, 99.667
309, 183.667
310, 124.000
311, 8.333
312, 4.000
313, 2.667
314, 92.000
315, 50.333
316, 197.333
317, 63.333
318, 40.667
319, 88.667
320, 124.667
