X, Y
0, 30.000
1, 0.000
2, 2.000
3, 1.000
4, 2.000
5, 0.000
6, 3.000
7, 1.000
8, 1.000
9, 1.000
10, 1.000
11, 1.000
12, 1.000
13, 1.000
14, 3.000
15, 38.000
16, 12.667
17, 10.333
18, 5.333
19, 2.333
20, 6.333
21, 1.000
22, 1.000
23, 1.000
24, 1.000
25, 1.333
26, 1.333
27, 1.667
28, 1.000
29, 1.667
30, 1.000
31, 1.000
32, 1.000
33, 1.000
34, 1.000
35, 1.000
36, 1.000
37, 1.000
38, 1.000
39, 1.000
40, 1.000
41, 1.000
42, 1.000
43, 1.000
44, 1.000
45, 1.000
46, 1.000
47, 1.667
48, 15.667
49, 67.333
50, 65.000
51, 18.000
52, 2.333
53, 3.000
54, 3.000
55, 1.000
56, 0.667
57, 1.000
58, 1.667
59, 2.333
60, 2.333
61, 2.000
62, 1.667
63, 1.000
64, 1.000
65, 1.000
66, 1.000
67, 1.000
68, 1.000
69, 1.000
70, 1.000
71, 1.000
72, 1.000
73, 1.000
74, 1.000
75, 1.000
76, 1.000
77, 1.000
78, 1.000
79, 1.000
80, 1.000
81, 1.000
82, 1.000
83, 1.000
84, 1.000
85, 1.000
86, 1.000
87, 1.000
88, 1.000
89, 1.000
90, 1.000
91, 1.000
92, 1.000
93, 1.000
94, 1.000
95, 1.000
96, 1.000
97, 1.000
98, 1.000
99, 1.000
100, 1.000
101, 1.000
102, 1.000
103, 1.000
104, 1.000
105, 1.000
106, 1.000
107, 1.000
108, 1.000
109, 1.000
110, 4.667
111, 19.667
112, 66.333
113, 18.667
114, 4.000
115, 2.333
116, 7.000
117, 7.667
118, 8.667
119, 16.000
120, 65.667
121, 117.000
122, 94.667
123, 14.333
124, 4.667
125, 1.000
126, 5.333
127, 9.667
128, 62.333
129, 129.667
130, 116.333
131, 11.667
132, 1.667
133, 3.333
134, 1.667
135, 3.000
136, 2.333
137, 3.000
138, 2.667
139, 2.667
140, 1.333
141, 1.667
142, 2.000
143, 1.667
144, 9.667
145, 91.333
146, 148.667
147, 111.667
148, 23.000
149, 3.667
150, 3.000
151, 1.333
152, 1.667
153, 4.000
154, 4.667
155, 2.667
156, 2.000
157, 3.000
158, 2.667
159, 2.667
160, 3.667
161, 5.333
162, 10.667
163, 38.000
164, 176.333
165, 170.000
166, 69.000
167, 154.333
168, 159.333
169, 23.333
170, 4.667
171, 4.333
172, 1.667
173, 3.333
174, 1.667
175, 1.000
176, 1.000
177, 1.000
178, 1.000
179, 1.000
180, 1.000
181, 1.000
182, 1.000
183, 1.000
184, 1.000
185, 1.000
186, 1.000
187, 1.000
188, 1.000
189, 1.000
190, 1.000
191, 0.333
192, 1.667
193, 1.667
194, 23.000
195, 80.000
196, 20.000
197, 1.333
198, 3.667
199, 1.000
200, 1.000
201, 2.000
202, 2.333
203, 1.333
204, 1.000
205, 1.000
206, 1.333
207, 3.667
208, 1.000
209, 9.000
210, 4.667
211, 3.000
212, 2.000
213, 5.333
214, 25.000
215, 109.000
216, 99.000
217, 9.000
218, 3.000
219, 5.667
220, 3.667
221, 0.333
222, 3.333
223, 1.000
224, 1.000
225, 1.000
226, 1.000
227, 1.000
228, 1.000
229, 1.000
230, 1.000
231, 1.000
232, 1.000
233, 1.000
234, 1.000
235, 1.000
236, 1.000
237, 1.000
238, 1.333
239, 14.000
240, 39.667
241, 3.000
242, 2.000
243, 0.333
244, 3.667
245, 4.333
246, 2.000
247, 3.000
248, 2.667
249, 2.333
250, 2.000
251, 1.333
252, 1.333
253, 2.667
254, 2.000
255, 1.000
256, 1.000
257, 1.000
258, 1.000
259, 1.000
260, 1.000
261, 1.000
262, 1.000
263, 1.000
264, 1.000
265, 1.000
266, 1.000
267, 1.000
268, 1.000
269, 1.000
270, 1.000
271, 1.000
272, 1.000
273, 1.000
274, 1.000
275, 1.000
276, 1.000
277, 1.000
278, 1.000
279, 1.000
280, 1.000
281, 1.000
282, 1.000
283, 1.000
284, 1.000
285, 1.000
286, 1.000
287, 1.000
288, 1.000
289, 1.000
290, 1.000
291, 1.000
292, 1.000
293, 1.000
294, 1.000
295, 1.000
296, 1.000
297, 1.000
298, 1.000
299, 1.000
300, 1.000
301, 1.000
302, 1.000
303, 1.000
304, 1.000
305, 1.000
306, 1.000
307, 1.000
308, 1.000
309, 1.000
310, 1.000
311, 1.000
312, 1.000
313, 1.000
314, 1.000
315, 1.000
316, 1.000
317, 1.000
318, 1.000
319, 0.000
320, 2.333
321, 0.667
322, 0.000
323, 3.333
324, 0.333
