Statistics_Analysis_Results, , , , , , 
Timestamp,Time [s],Mean Value[Intensity],Variance[-],Standard Deviation[Intensity],Weighted Average[nm (vac)],Max Value[Intensity]
2017-06-27T12:32:27.1700000-03:00,0.000000000E+000,1.946796370E-002,3.019662325E-004,1.737717562E-002,3.908569127E+002,5.295242742E-002
2017-06-27T12:32:28.1900000-03:00,1.020000000E+000,1.954861165E-002,2.862696155E-004,1.691950400E-002,3.908604900E+002,5.351037160E-002
2017-06-27T12:32:29.1900000-03:00,2.020000000E+000,2.009281252E-002,2.991758099E-004,1.729669939E-002,3.908593796E+002,5.649292842E-002
2017-06-27T12:32:30.1900000-03:00,3.020000000E+000,1.941462778E-002,3.141635089E-004,1.772465822E-002,3.908993080E+002,5.672884732E-002
2017-06-27T12:32:31.1900000-03:00,4.020000000E+000,1.959000953E-002,2.979842283E-004,1.726221968E-002,3.908729571E+002,5.399424583E-002
2017-06-27T12:32:32.1900000-03:00,5.020000000E+000,1.987583767E-002,2.891329620E-004,1.700391020E-002,3.908757240E+002,5.405903980E-002
2017-06-27T12:32:33.1900000-03:00,6.020000000E+000,2.001284944E-002,2.942518848E-004,1.715377174E-002,3.908647590E+002,5.279582739E-002
2017-06-27T12:32:34.1900000-03:00,7.020000000E+000,1.898139161E-002,3.004814735E-004,1.733440145E-002,3.908796109E+002,5.452575907E-002
2017-06-27T12:32:35.1900000-03:00,8.020000000E+000,1.926325513E-002,2.862493181E-004,1.691890416E-002,3.908685594E+002,5.149928108E-002
2017-06-27T12:32:36.1800000-03:00,9.010000000E+000,1.959226982E-002,2.848487171E-004,1.687746181E-002,3.908550000E+002,5.399827659E-002
2017-06-27T12:32:37.1800000-03:00,1.001000000E+001,1.896977724E-002,2.863628231E-004,1.692225821E-002,3.908769930E+002,5.277261138E-002
2017-06-27T12:32:38.1800000-03:00,1.101000000E+001,1.950876491E-002,2.818889664E-004,1.678954932E-002,3.908602857E+002,5.400631577E-002
2017-06-27T12:32:39.1800000-03:00,1.201000000E+001,1.943923257E-002,2.903503501E-004,1.703966990E-002,3.908796184E+002,5.417202041E-002
2017-06-27T12:32:40.1800000-03:00,1.301000000E+001,2.043051852E-002,2.865327348E-004,1.692727783E-002,3.908588115E+002,5.238134414E-002
2017-06-27T12:32:41.1800000-03:00,1.401000000E+001,1.848765401E-002,2.834547521E-004,1.683611452E-002,3.908813244E+002,5.080763251E-002
2017-06-27T12:32:42.1800000-03:00,1.501000000E+001,1.932026713E-002,2.991932036E-004,1.729720219E-002,3.908757639E+002,5.387162790E-002
2017-06-27T12:32:43.1800000-03:00,1.601000000E+001,1.956169641E-002,2.852616171E-004,1.688968967E-002,3.908504668E+002,5.538829789E-002
