Statistics_Analysis_Results, , , , , , 
Timestamp,Time [s],Mean Value[Intensity],Variance[-],Standard Deviation[Intensity],Weighted Average[nm (vac)],Max Value[Intensity]
2017-06-27T12:01:27.8700000-03:00,0.000000000E+000,1.224415197E-002,1.303114880E-004,1.141540573E-002,7.772149917E+002,3.154151142E-002
2017-06-27T12:01:28.8700000-03:00,1.000000000E+000,1.191907866E-002,1.498931461E-004,1.224308564E-002,7.771644134E+002,3.232271969E-002
2017-06-27T12:01:29.8700000-03:00,2.000000000E+000,1.165468857E-002,1.235698758E-004,1.111619880E-002,7.771706679E+002,3.005627356E-002
2017-06-27T12:01:30.8700000-03:00,3.000000000E+000,1.211960991E-002,1.256491711E-004,1.120933411E-002,7.772133298E+002,3.142843768E-002
2017-06-27T12:01:31.8700000-03:00,4.000000000E+000,1.189496882E-002,1.426778113E-004,1.194478176E-002,7.771788190E+002,3.345356509E-002
2017-06-27T12:01:32.8700000-03:00,5.000000000E+000,1.153823363E-002,1.273542562E-004,1.128513430E-002,7.772083082E+002,3.007122315E-002
2017-06-27T12:01:33.8700000-03:00,6.000000000E+000,1.183530569E-002,1.518913990E-004,1.232442287E-002,7.772132153E+002,3.227847070E-002
2017-06-27T12:01:34.8700000-03:00,7.000000000E+000,1.153758755E-002,1.316310462E-004,1.147305740E-002,7.772061233E+002,3.020993434E-002
2017-06-27T12:01:35.8700000-03:00,8.000000000E+000,1.147488996E-002,1.306078288E-004,1.142837822E-002,7.771887515E+002,3.096208721E-002
2017-06-27T12:01:36.8700000-03:00,9.000000000E+000,1.110516402E-002,1.336729544E-004,1.156170205E-002,7.771981827E+002,2.912710048E-002
2017-06-27T12:01:37.8700000-03:00,1.000000000E+001,1.214172358E-002,1.324611099E-004,1.150917503E-002,7.771594628E+002,3.151545301E-002
2017-06-27T12:01:38.8700000-03:00,1.100000000E+001,1.258834722E-002,1.313398387E-004,1.146035945E-002,7.772154788E+002,3.076931275E-002
2017-06-27T12:01:39.8700000-03:00,1.200000000E+001,1.204407385E-002,1.402971637E-004,1.184471037E-002,7.771840719E+002,3.226010501E-002
2017-06-27T12:01:40.8700000-03:00,1.300000000E+001,1.147674866E-002,1.449365979E-004,1.203896166E-002,7.771468743E+002,3.169189766E-002
2017-06-27T12:01:41.8700000-03:00,1.400000000E+001,1.215283009E-002,1.370750919E-004,1.170790724E-002,7.771905396E+002,3.328130767E-002
2017-06-27T12:01:42.8700000-03:00,1.500000000E+001,1.118913758E-002,1.384583076E-004,1.176683082E-002,7.772087423E+002,3.006237559E-002
2017-06-27T12:01:43.8700000-03:00,1.600000000E+001,1.194284228E-002,1.369316007E-004,1.170177767E-002,7.771710130E+002,3.221248090E-002
2017-06-27T12:01:44.8700000-03:00,1.700000000E+001,1.211279365E-002,1.254081708E-004,1.119857896E-002,7.772127829E+002,3.008763678E-002
2017-06-27T12:01:45.8700000-03:00,1.800000000E+001,1.141962091E-002,1.320600459E-004,1.149173816E-002,7.771952245E+002,3.054147772E-002
