Timestamp, Time, Mean, Variance, Deviation
08.37000, 0.000000000E+000, 5.940752173E-005, 1.660077938E-006, 1.288440118E-003
08.47000, 1.000000000E-001, 4.055047951E-004, 1.726914132E-006, 1.314121049E-003
08.57000, 2.000000000E-001, 2.429469797E-006, 1.747307389E-006, 1.321857553E-003
08.67000, 3.000000000E-001, 5.133600943E-004, 1.718385900E-006, 1.310872191E-003
08.77000, 4.000000000E-001, -2.056378613E-004, 1.727622785E-006, 1.314390652E-003
08.87000, 5.000000000E-001, 4.375934000E-004, 1.674023841E-006, 1.293840733E-003
08.97000, 6.000000000E-001, 5.920012205E-004, 1.711081804E-006, 1.308083256E-003
09.07000, 7.000000000E-001, 4.124537282E-004, 1.680121207E-006, 1.296194895E-003
09.17000, 8.000000000E-001, 6.209540278E-004, 1.668272261E-006, 1.291616143E-003
09.27000, 9.000000000E-001, 2.874919307E-004, 1.763650801E-006, 1.328025151E-003
09.37000, 1.000000000E+000, -2.222023678E-004, 1.727601832E-006, 1.314382681E-003
09.47000, 1.100000000E+000, -9.810458093E-005, 1.652731753E-006, 1.285586151E-003
09.57000, 1.200000000E+000, 2.482304921E-004, 1.706754665E-006, 1.306428209E-003
09.67000, 1.300000000E+000, 7.685999198E-004, 1.723694304E-006, 1.312895390E-003
09.77000, 1.400000000E+000, -2.814256990E-004, 1.688298734E-006, 1.299345502E-003
09.87000, 1.500000000E+000, -3.749972344E-004, 1.713306831E-006, 1.308933471E-003
09.97000, 1.600000000E+000, 2.472846074E-004, 1.680387468E-006, 1.296297600E-003
10.07000, 1.700000000E+000, 7.554397991E-005, 1.727340390E-006, 1.314283223E-003
10.17000, 1.800000000E+000, 2.573046568E-004, 1.663211724E-006, 1.289655661E-003
10.27000, 1.900000000E+000, 9.114611776E-004, 1.711059209E-006, 1.308074619E-003
10.37000, 2.000000000E+000, 1.109826210E-004, 1.674255734E-006, 1.293930343E-003
10.47000, 2.100000000E+000, -2.203230489E-004, 1.734261569E-006, 1.316913653E-003
10.57000, 2.200000000E+000, -1.594583961E-005, 1.642430108E-006, 1.281573294E-003
10.67000, 2.300000000E+000, -3.125593405E-004, 1.669056260E-006, 1.291919603E-003
10.77000, 2.400000000E+000, 3.816948800E-004, 1.694030227E-006, 1.301549164E-003
10.87000, 2.500000000E+000, -1.153746803E-004, 1.731615413E-006, 1.315908588E-003
10.97000, 2.600000000E+000, -3.695625929E-004, 1.671091995E-006, 1.292707235E-003
11.07000, 2.700000000E+000, 2.542542572E-004, 1.671659897E-006, 1.292926872E-003
11.17000, 2.800000000E+000, -1.258043288E-004, 1.662969601E-006, 1.289561786E-003
11.27000, 2.900000000E+000, 2.877630239E-004, 1.683117816E-006, 1.297350306E-003
11.37000, 3.000000000E+000, 9.608621293E-005, 1.693004473E-006, 1.301155054E-003
11.47000, 3.100000000E+000, 1.723734507E-004, 1.672573795E-006, 1.293280246E-003
11.57000, 3.200000000E+000, 3.296924768E-005, 1.696889890E-006, 1.302647262E-003
11.67000, 3.300000000E+000, -5.421712006E-004, 1.673952512E-006, 1.293813167E-003
11.77000, 3.400000000E+000, -1.970618862E-004, 1.652964203E-006, 1.285676555E-003
11.87000, 3.500000000E+000, -3.966747651E-005, 1.779089116E-006, 1.333824994E-003
11.97000, 3.600000000E+000, 3.421438977E-004, 1.723567732E-006, 1.312847185E-003
12.07000, 3.700000000E+000, -2.375825422E-004, 1.675745265E-006, 1.294505800E-003
12.17000, 3.800000000E+000, -2.034700502E-004, 1.718293198E-006, 1.310836831E-003
12.27000, 3.900000000E+000, 1.275491783E-004, 1.697480382E-006, 1.302873893E-003
12.37000, 4.000000000E+000, 4.613982625E-004, 1.682717369E-006, 1.297195964E-003
12.47000, 4.100000000E+000, 6.022793065E-005, 1.716287147E-006, 1.310071428E-003
12.57000, 4.200000000E+000, 2.656587262E-004, 1.727088635E-006, 1.314187443E-003
